id,name,unidentified_name_id,identified_name_id,item_type,use_type,material,weight,inv_gfx_id,grd_gfx_id,item_desc_id,stackable,max_change_count,dmg_small,dmg_large,min_level,max_level,loc_x,loc_y,map_id,bless,tradable,deletable,sealable,delay_id,delay_time,delay_effect,food_volume,save_at_once,charge_time,expiration_time
40017,翡翠藥水,$233,$233,potion,cure,glass,1000,76,41,126,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40018,強化 綠色藥水,$1652 $234,$1652 $264,potion,haste,glass,7050,621,42,17,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40019,濃縮體力恢復劑,$1251,$1251,potion,healing,glass,1950,535,3041,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40020,濃縮強力體力恢復劑,$1252,$1252,potion,healing,glass,2450,532,3042,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40021,濃縮終極體力恢復劑,$1253,$1253,potion,healing,glass,2950,536,3043,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40022,古代體力恢復劑,$2575,$2575,potion,healing,glass,2900,1161,3041,915,1,0,0,0,0,0,0,0,0,0,1,1,1,2,500,0,0,0,0,\N
40023,古代強力體力恢復劑,$2576,$2576,potion,healing,glass,4900,1162,3042,916,1,0,0,0,0,0,0,0,0,0,1,1,1,2,500,0,0,0,0,\N
40024,古代終極體力恢復劑,$2577,$2577,potion,healing,glass,5850,1163,3043,917,1,0,0,0,0,0,0,0,0,0,1,1,1,2,500,0,0,0,0,\N
40025,黑色藥水,$239,$242,potion,normal,glass,15600,82,47,16,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40026,香蕉汁,$107 $2372,$107 $2372,potion,healing,glass,2930,1033,47,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40027,橘子汁,$85 $2372,$85 $2372,potion,healing,glass,2930,1034,47,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40028,蘋果汁,$106 $2372,$106 $2372,potion,healing,glass,2930,1032,47,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40029,象牙塔治癒藥水,$3301,$3301,potion,healing,glass,7800,80,45,1342,1,0,0,0,0,51,0,0,0,0,0,1,1,2,500,0,0,0,0,\N
40030,象牙塔加速藥水,$3302,$3302,potion,haste,glass,7800,77,42,1343,1,0,0,0,0,51,0,0,0,0,0,1,1,0,0,0,0,0,0,\N
40031,惡魔之血,$3372,$3372,potion,brave,glass,0,1761,4338,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40032,伊娃的祝福,$1507,$1507,potion,bless_eva,glass,2000,557,1733,411,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40033,萬能藥(力量),$2530,$2530,potion,normal,glass,20000,1143,2983,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,\N
40034,萬能藥(體質),$2531,$2531,potion,normal,glass,20000,1140,2987,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,\N
40035,萬能藥(敏捷),$2532,$2532,potion,normal,glass,20000,1141,2984,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,\N
40036,萬能藥(智慧),$2533,$2533,potion,normal,glass,20000,1142,2985,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,\N
40037,萬能藥(精神),$2534,$2534,potion,normal,glass,20000,1144,2986,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,\N
40038,萬能藥(魅力),$2535,$2535,potion,normal,glass,20000,1139,2988,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,\N
40039,紅酒,$3405,$3405,potion,haste,glass,160,1646,4249,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40040,威士忌,$3406,$3406,potion,haste,glass,160,1647,4250,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40041,人魚之鱗,$1508,$1508,potion,bless_eva,bone,3900,556,1732,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40042,精神藥水,$3370,$3370,potion,magic_healing,glass,31000,1730,4324,1406,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40043,兔子的肝,$1943,$1943,potion,healing,glass,19500,904,3041,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40044,鑽石,$512,$512,gem,none,gemstone,40,236,771,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40045,紅寶石,$513,$513,gem,none,gemstone,40,242,774,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40046,藍寶石,$514,$514,gem,none,gemstone,40,245,775,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40047,綠寶石,$515,$515,gem,none,gemstone,40,239,772,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40048,品質鑽石,$799 $512,$799 $512,gem,none,gemstone,40,237,771,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40049,品質紅寶石,$799 $513,$799 $513,gem,none,gemstone,40,243,774,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40050,品質藍寶石,$799 $514,$799 $514,gem,none,gemstone,40,246,775,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40051,品質綠寶石,$799 $515,$799 $515,gem,none,gemstone,40,240,772,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40052,高品質鑽石,$800 $512,$800 $512,gem,none,gemstone,40,238,771,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40053,高品質紅寶石,$800 $513,$800 $513,gem,none,gemstone,40,244,774,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40054,高品質藍寶石,$800 $514,$800 $514,gem,none,gemstone,40,247,775,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40055,高品質綠寶石,$800 $515,$800 $515,gem,none,gemstone,40,241,772,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40056,肉,$23,$23,food,normal,animalmatter,10000,124,36,10,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,100,0,0,\N
40057,漂浮之眼肉,$6 $23,$6 $23,food,normal,animalmatter,10000,1205,3176,9,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40058,煙燻的麵包屑,$3403,$3403,potion,healing,vegetation,4000,1648,4251,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40059,蛋,$72,$72,food,normal,animalmatter,1000,40,69,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,80,0,0,\N
40060,胡蘿蔔,$68,$68,food,normal,vegetation,2000,25,67,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,50,0,0,\N
40061,檸檬,$82,$82,food,normal,vegetation,2000,63,72,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,50,0,0,\N
40062,香蕉,$107,$107,food,normal,vegetation,2000,127,80,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,80,0,0,\N
40063,情人節 巧克力,$1619 $1622,$1619 $1622,food,normal,vegetation,1000,608,2058,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40064,蘋果,$106,$106,food,normal,vegetation,2000,995,2723,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,50,0,0,\N
40065,情人禮物(糖果),$1179,$1179,food,normal,vegetation,1000,936,73,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,30,0,0,\N
40066,年糕,$2578,$2578,potion,magic_healing,vegetation,6000,1157,3037,918,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40067,艾草年糕,$2579,$2579,potion,magic_healing,vegetation,12000,1158,3038,919,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40068,精靈餅乾,$110,$110,potion,brave,vegetation,5000,130,81,86,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40069,橘子,$85,$85,food,normal,vegetation,2000,71,73,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,80,0,0,\N
40070,進化果實,$2810,$2810,other,normal,vegetation,10000,1316,3350,969,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40071,烤焦的麵包屑,$3404,$3404,potion,healing,vegetation,5000,1649,4251,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1000,0,0,0,0,\N
40072,烤薄餅,$86,$86,food,normal,vegetation,2000,125,74,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,200,0,0,\N
40073,復活蛋,$1672,$1672,food,normal,vegetation,1000,614,73,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40074,對盔甲施法的卷軸,$249,$249,scroll,zel,paper,630,467,22,26,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40075,毀滅盔甲的卷軸,$254,$254,scroll,zel,paper,630,476,22,27,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40076,古代的卷軸,$1957,$1957,scroll,normal,paper,5000,911,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40077,古代人的練金術卷軸,$3363,$3363,scroll,dai,paper,630,1690,4286,1396,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40078,古代人的咒術卷軸,$3366,$3366,scroll,zel,paper,630,1693,4289,1395,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40079,傳送回家的卷軸,$505,$505,scroll,normal,paper,630,474,22,1338,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1500,0,0,0,0,\N
40080,古魯丁村莊指定傳送卷軸,$3304,$3304,scroll,normal,paper,630,474,22,1345,1,0,0,0,0,0,32612,32734,4,0,1,1,1,4,1500,0,0,0,0,\N
40081,奇岩村莊指定傳送卷軸,$1410,$1410,scroll,normal,paper,630,474,22,1351,1,0,0,0,0,0,33442,32797,4,0,1,1,1,4,1500,0,0,0,0,\N
40082,指定傳送卷軸(歌唱之島),$1411,$1411,scroll,normal,paper,630,474,22,0,1,0,0,0,0,13,32831,32838,8011,0,1,1,1,4,1500,0,0,0,0,\N
40083,大洞穴移動卷軸,$3545,$3545,scroll,normal,paper,630,1813,22,0,1,0,0,0,0,0,32572,32663,400,0,1,1,1,4,1500,0,0,0,0,\N
40084,狄亞得移動卷軸,$3554,$3554,scroll,normal,paper,630,474,22,0,1,0,0,0,0,0,32723,32851,320,0,1,1,1,4,1500,0,0,0,0,\N
40085,說話之島指定傳送卷軸,$3303,$3303,scroll,normal,paper,630,474,22,0,1,0,0,0,0,0,32580,32931,0,0,1,1,1,4,1500,0,0,0,0,\N
40086,全體傳送術的卷軸,$618,$618,scroll,ntele,paper,630,469,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1500,0,0,0,0,\N
40087,對武器施法的卷軸,$244,$244,scroll,dai,paper,630,468,22,25,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40088,變形卷軸,$971,$971,scroll,sosc,paper,630,472,22,1341,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40089,復活卷軸,$257,$257,scroll,res,paper,630,471,22,28,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40090,空的魔法卷軸(等級1),$1486,$1486,scroll,blank,paper,630,859,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40091,空的魔法卷軸(等級2),$1892,$1892,scroll,blank,paper,630,860,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40092,空的魔法卷軸(等級3),$1893,$1893,scroll,blank,paper,630,858,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40093,空的魔法卷軸(等級4),$1894,$1894,scroll,blank,paper,630,862,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40094,空的魔法卷軸(等級5),$1895,$1895,scroll,blank,paper,630,864,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40095,象牙塔傳送回家的卷軸,$3297,$3297,scroll,normal,paper,630,474,22,1353,1,0,0,0,0,51,0,0,0,0,0,1,1,4,1500,0,0,0,0,\N
40096,象牙塔變身卷軸,$3300,$3300,scroll,sosc,paper,630,472,22,1341,1,0,0,0,0,51,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40097,象牙塔解咒卷軸,$3299,$3299,scroll,normal,paper,630,470,22,1340,1,0,0,0,0,51,0,0,0,0,0,1,1,0,0,0,0,0,0,\N
40098,象牙塔鑑定卷軸,$3298,$3298,scroll,identify,paper,630,475,22,1339,1,0,0,0,0,51,0,0,0,0,0,1,1,0,0,0,0,0,0,\N
40099,象牙塔瞬間移動卷軸,$3296,$3296,scroll,ntele,paper,630,473,22,1337,1,0,0,0,0,51,0,0,0,0,0,1,1,4,1500,0,0,0,0,\N
40100,瞬間移動卷軸,$230,$230,scroll,ntele,paper,630,473,22,1337,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1500,0,0,0,0,\N
40101,指定傳送卷軸(隱藏之谷),$1424,$1424,scroll,npc_talk,paper,630,474,22,0,1,0,0,0,0,12,32671,32836,69,0,1,1,1,4,1500,0,0,0,0,\N
40102,亞丁村莊指定傳送卷軸,$3314,$3314,scroll,normal,paper,630,474,22,1355,1,0,0,0,0,0,33966,33253,4,0,1,1,1,4,1500,0,0,0,0,\N
40103,歐瑞村莊指定傳送卷軸,$3312,$3312,scroll,normal,paper,630,474,22,0,1,0,0,0,0,0,34061,32276,4,0,1,1,1,4,1500,0,0,0,0,\N
40104,傲慢之塔移動卷軸(11F),$2169,$2169,scroll,normal,paper,630,5488,2878,0,1,0,0,0,0,0,32631,32935,111,0,1,1,1,4,1500,0,0,0,0,\N
40105,傲慢之塔移動卷軸(21F),$2168,$2168,scroll,normal,paper,630,5489,2878,0,1,0,0,0,0,0,32631,32935,121,0,1,1,1,4,1500,0,0,0,0,\N
40106,傲慢之塔移動卷軸(31F),$2404,$2404,scroll,normal,paper,630,5490,2878,0,1,0,0,0,0,0,32631,32935,131,0,1,1,1,4,1500,0,0,0,0,\N
40107,傲慢之塔移動卷軸(41F),$2405,$2405,scroll,normal,paper,630,5491,2878,0,1,0,0,0,0,0,32631,32935,141,0,1,1,1,4,1500,0,0,0,0,\N
40108,傲慢之塔移動卷軸(51F),$2673,$2673,scroll,normal,paper,630,5492,2878,0,1,0,0,0,0,0,32669,32814,151,0,1,1,1,4,1500,0,0,0,0,\N
40109,傲慢之塔移動卷軸(61F),$2674,$2674,scroll,normal,paper,630,5493,2878,0,1,0,0,0,0,0,32669,32814,161,0,1,1,1,4,1500,0,0,0,0,\N
40110,傲慢之塔移動卷軸(71F),$2675,$2675,scroll,normal,paper,630,5494,2878,0,1,0,0,0,0,0,32669,32814,171,0,1,1,1,4,1500,0,0,0,0,\N
40111,傲慢之塔移動卷軸(81F),$2676,$2676,scroll,normal,paper,630,5495,2878,0,1,0,0,0,0,0,32669,32814,181,0,1,1,1,4,1500,0,0,0,0,\N
40112,傲慢之塔移動卷軸(91F),$2677,$2677,scroll,normal,paper,630,5496,2878,0,1,0,0,0,0,0,32669,32814,191,0,1,1,1,4,1500,0,0,0,0,\N
40113,傲慢之塔移動卷軸(100F),$2862,$2862,scroll,normal,paper,630,5497,2878,0,1,0,0,0,0,0,32731,32856,200,0,1,1,1,4,1500,0,0,0,0,\N
40114,妖森指定傳送卷軸,$3308,$3308,scroll,normal,paper,630,474,22,1349,1,0,0,0,0,0,33050,32341,4,0,1,1,1,4,1500,0,0,0,0,\N
40115,風木村莊指定傳送卷軸,$3306,$3306,scroll,normal,paper,630,474,22,1347,1,0,0,0,0,0,32617,33201,4,0,1,1,1,4,1500,0,0,0,0,\N
40116,威頓村莊指定傳送卷軸,$3313,$3313,scroll,normal,paper,630,474,22,1354,1,0,0,0,0,0,33705,32504,4,0,1,1,1,4,1500,0,0,0,0,\N
40117,銀騎士村莊指定傳送卷軸,$3309,$3309,scroll,normal,paper,630,474,22,1350,1,0,0,0,0,0,33080,33392,4,0,1,1,1,4,1500,0,0,0,0,\N
40118,隱遁者村莊指定傳送卷軸,$3547,$3547,scroll,normal,paper,630,1815,22,0,1,0,0,0,0,0,32601,32908,400,0,1,1,1,4,1500,0,0,0,0,\N
40119,解除咀咒的卷軸,$243,$243,scroll,normal,paper,630,470,22,1340,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40120,抵抗軍村莊指定傳送卷軸,$3546,$3546,scroll,normal,paper,630,1814,22,0,1,0,0,0,0,0,32571,32673,400,0,1,1,1,4,1500,0,0,0,0,\N
40121,指定傳送(礦物洞穴),指定傳送(礦物洞穴),指定傳送(礦物洞穴),scroll,normal,paper,630,474,22,0,1,0,0,0,0,0,32733,32985,330,0,1,1,1,4,1500,0,0,0,0,\N
40122,肯特村莊指定傳送卷軸,$3305,$3305,scroll,normal,paper,630,474,22,1346,1,0,0,0,0,0,33050,32780,4,0,1,1,1,4,1500,0,0,0,0,\N
40123,海音村莊指定傳送卷軸,$3311,$3311,scroll,normal,paper,630,474,22,1352,1,0,0,0,0,0,33614,33253,4,0,1,1,1,4,1500,0,0,0,0,\N
40124,血盟傳送卷軸,$2380,$2380,scroll,normal,paper,630,474,22,806,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1500,0,0,0,0,\N
40125,燃柳村莊指定傳送卷軸,$3307,$3307,scroll,normal,paper,630,474,22,1348,1,0,0,0,0,0,32752,32441,4,0,1,1,1,4,1500,0,0,0,0,\N
40126,鑑定卷軸,$55,$55,scroll,identify,paper,630,475,22,1339,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40127,對盔甲施法的幻象卷軸,$2001,$2001,scroll,zel,paper,18000,928,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40128,對武器施法的幻象卷軸,$2000,$2000,scroll,dai,paper,13000,929,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40129,奇安的卷軸,$3359,$3359,scroll,zel,paper,630,1686,4282,1395,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40130,金侃的卷軸,$3360,$3360,scroll,dai,paper,630,1687,4283,1396,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40131,甘地圖騰,$501,$501,totem,none,bone,1000,261,732,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40132,那魯加圖騰,$500,$500,totem,none,bone,1000,259,730,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40133,都達瑪拉圖騰,$503,$503,totem,none,bone,1000,260,731,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40134,羅孚圖騰,$502,$502,totem,none,bone,1000,262,733,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40135,阿吐巴圖騰,$499,$499,totem,none,bone,1000,258,729,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
40136,三連發煙火,$1654 $1616,$1654 $1616,firecracker,normal,wood,0,596,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40137,六連發煙火,$1655 $1616,$1655 $1616,firecracker,normal,wood,0,598,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40138,高級六連發煙火,$799 $1655 $1616,$799 $1655 $1616,firecracker,normal,wood,0,597,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40139,藍色兩段煙火,$1627 $1630 $1616,$1627 $1630 $1616,firecracker,normal,wood,0,595,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40140,藍色仙女棒,$1627 $1656,$1627 $1656,firecracker,normal,wood,0,599,2057,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40141,藍色煙火,$1627 $1616,$1627 $1616,firecracker,normal,wood,0,593,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40142,藍色心型煙火,$1627 $1631 $1616,$1627 $1631 $1616,firecracker,normal,wood,0,594,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40143,紅色兩段煙火,$1625 $1630 $1616,$1625 $1630 $1616,firecracker,normal,wood,0,595,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40144,紅色仙女棒,$1625 $1656,$1625 $1656,firecracker,normal,wood,0,599,2057,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40145,紅色煙火,$1625 $1616,$1625 $1616,firecracker,normal,wood,0,593,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40146,紅色心型煙火,$1625 $1631 $1616,$1625 $1631 $1616,firecracker,normal,wood,0,594,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40147,綠色兩段圓形煙火,$1626 $1630 $1629 $1616,$1626 $1630 $1629 $1616,firecracker,normal,wood,0,595,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40148,綠色兩段煙火,$1626 $1630 $1616,$1626 $1630 $1616,firecracker,normal,wood,0,595,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40149,藍色圓形煙火,$1626 $1632 $1616,$1626 $1632 $1616,firecracker,normal,wood,0,594,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40150,綠色仙女棒,$1626 $1656,$1626 $1656,firecracker,normal,wood,0,599,2057,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40151,淡綠色煙火,$1626 $1629 $1616,$1626 $1629 $1616,firecracker,normal,wood,0,593,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40152,綠色煙火,$1626 $1616,$1626 $1616,firecracker,normal,wood,0,593,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40153,綠色心型煙火,$1626 $1631 $1616,$1626 $1631 $1616,firecracker,normal,wood,0,594,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40154,聖誕煙火,$2683,$2683,firecracker,normal,wood,0,1207,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40155,黃色兩段圓形煙火,$1628 $1630 $1629 $1616,$1628 $1630 $1629 $1616,firecracker,normal,wood,0,595,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40156,黃色兩段煙火,$1628 $1630 $1616,$1628 $1630 $1616,firecracker,normal,wood,0,595,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40157,黃色圓形煙火,$1628 $1632 $1616,$1628 $1632 $1616,firecracker,normal,wood,0,594,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40158,黃色仙女棒,$1628 $1656,$1628 $1656,firecracker,normal,wood,0,599,2057,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40159,黃色煙火,$1628 $1629 $1616,$1628 $1629 $1616,firecracker,normal,wood,0,593,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40160,淡黃色煙火,$1628 $1616,$1628 $1616,firecracker,normal,wood,0,593,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40161,黃色心型煙火,$1628 $1631 $1616,$1628 $1631 $1616,firecracker,normal,wood,0,594,2009,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,\N
40162,高崙之心,$3060,$3060,material,none,gemstone,1000,1467,4303,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,\N
