id,name,start_x,end_x,start_y,end_y,monster_amount,drop_rate,unique_rate,underwater,makable,teleportable,escapable,resurrection,painwand,penalty,take_pets,recall_pets,usable_item,usable_skill
82,Ivory Tower 8F Demon Seal room,32640,32767,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
83,Aden Mainland Ship to Forgotten Island,32704,32831,32768,32831,1,1,1,0,0,0,1,1,0,1,1,1,1,1
84,Forgotten Island Ship to Aden Mainland,32704,32767,32768,32831,1,1,1,0,0,0,1,1,0,1,1,1,1,1
85,Singing Island Dungeon,32512,32831,32640,32959,1,1,1,0,0,1,1,1,0,1,1,1,1,1
86,Hidden Valley Dungeon,32768,33023,32704,32895,1,1,1,0,0,1,1,1,0,1,1,1,1,1
87,Pago\'s Room,32704,32767,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
88,Giran Arena,33472,33599,32640,32767,1,1,1,0,0,0,1,0,1,1,1,0,1,1
89,Giran Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,1,0,1,1
90,Giran Arena,32640,32767,32832,32959,1,1,1,0,0,0,0,0,1,1,1,0,1,1
91,Talking Island Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,0,0,1,1
92,Gludio Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,0,0,1,1
93,Kent Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,1,0,1,1
94,Windawood Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,1,0,1,1
95,Silver Knight Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,0,0,1,1
96,Lair of Valakas Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,1,0,1,1
97,Heine Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,1,0,1,1
98,Werldern Arena,32640,32767,32832,32959,1,1,1,0,0,0,1,0,1,1,0,0,1,1
99,GM Room,32704,32767,32768,32831,1,1,1,0,0,0,0,1,0,1,0,0,1,1
100,\N,32704,32831,32768,32895,1,1,1,0,0,0,1,1,0,1,0,0,1,1
101,Tower of Insolence 1F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
102,Tower of Insolence 2F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
103,Tower of Insolence 3F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
104,Tower of Insolence 4F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
105,Tower of Insolence 5F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
106,Tower of Insolence 6F,32576,33855,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
107,Tower of Insolence 7F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
108,Tower of Insolence 8F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
109,Tower of Insolence 9F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
110,Tower of Insolence 10F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
111,Tower of Insolence 11F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
112,Tower of Insolence 12F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
113,Tower of Insolence 13F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
114,Tower of Insolence 14F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
115,Tower of Insolence 15F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
116,Tower of Insolence 16F,32704,32831,32832,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
117,Tower of Insolence 17F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
118,Tower of Insolence 18F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
119,Tower of Insolence 19F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
120,Tower of Insolence 20F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
121,Tower of Insolence 21F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
122,Tower of Insolence 22F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
123,Tower of Insolence 23F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
124,Tower of Insolence 24F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
125,Tower of Insolence 25F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
126,Tower of Insolence 26F,32704,32831,32832,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
127,Tower of Insolence 27F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
128,Tower of Insolence 28F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
129,Tower of Insolence 29F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
130,Tower of Insolence 30F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
131,Tower of Insolence 31F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
132,Tower of Insolence 32F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
133,Tower of Insolence 33F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
134,Tower of Insolence 34F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
135,Tower of Insolence 35F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
136,Tower of Insolence 36F,32704,32831,32832,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
137,Tower of Insolence 37F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
138,Tower of Insolence 38F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
139,Tower of Insolence 39F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
140,Tower of Insolence 40F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
141,Tower of Insolence 41F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
142,Tower of Insolence 42F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
143,Tower of Insolence 43F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
144,Tower of Insolence 44F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
145,Tower of Insolence 45F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
146,Tower of Insolence 46F,32576,32831,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
147,Tower of Insolence 47F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
148,Tower of Insolence 48F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
149,Tower of Insolence 49F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
150,Tower of Insolence 50F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
151,Tower of Insolence 51F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
152,Tower of Insolence 52F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
153,Tower of Insolence 53F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
154,Tower of Insolence 54F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
155,Tower of Insolence 55F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
156,Tower of Insolence 56F,32704,32831,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
157,Tower of Insolence 57F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
158,Tower of Insolence 58F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
159,Tower of Insolence 59F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
160,Tower of Insolence 60F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
161,Tower of Insolence 61F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
162,Tower of Insolence 62F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
163,Tower of Insolence 63F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
164,Tower of Insolence 64F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
165,Tower of Insolence 65F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
166,Tower of Insolence 66F,32704,32831,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
167,Tower of Insolence 67F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
168,Tower of Insolence 68F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
169,Tower of Insolence 69F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
170,Tower of Insolence 70F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
171,Tower of Insolence 71F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
172,Tower of Insolence 72F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
173,Tower of Insolence 73F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
174,Tower of Insolence 74F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
175,Tower of Insolence 75F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
176,Tower of Insolence 76F,32704,32831,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
177,Tower of Insolence 77F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
178,Tower of Insolence 78F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
179,Tower of Insolence 79F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
180,Tower of Insolence 80F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
181,Tower of Insolence 81F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
182,Tower of Insolence 82F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
183,Tower of Insolence 83F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
184,Tower of Insolence 84F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
185,Tower of Insolence 85F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
186,Tower of Insolence 86F,32704,32831,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
187,Tower of Insolence 87F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
188,Tower of Insolence 88F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
189,Tower of Insolence 89F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
190,Tower of Insolence 90F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
191,Tower of Insolence 91F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
192,Tower of Insolence 92F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
193,Tower of Insolence 93F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
194,Tower of Insolence 94F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
195,Tower of Insolence 95F,32704,32895,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
196,Tower of Insolence 96F,32704,32831,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
197,Tower of Insolence 97F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
198,Tower of Insolence 98F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
199,Tower of Insolence 99F,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
200,Tower of Insolence 100F,32576,32831,32768,33023,1,1,1,0,0,0,0,1,1,1,1,1,1,1
201,Mage Quest Dungeon,32640,33535,32704,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
202,Mage Quest Dungeon,32640,33535,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
203,Mage Quest Dungeon,32640,33535,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
204,Mage Quest Dungeon,32640,33535,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
205,\N,32640,33535,32704,32895,1,1,1,0,0,1,1,1,0,1,1,1,1,1
206,\N,32640,33535,32704,32895,1,1,1,0,0,1,1,1,0,1,1,1,1,1
207,\N,32640,33535,32704,32895,1,1,1,0,0,1,1,1,0,1,1,1,1,1
208,\N,32640,33535,32704,32895,1,1,1,0,0,1,1,1,0,1,1,1,1,1
209,Darkelf Dungeon,32704,32767,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
210,Darkelf Dungeon,32640,33535,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
211,Darkelf Dungeon,32640,33535,32704,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
213,Darkelf Dungeon,32704,32767,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
217,Mutant Ant Dungeon,32640,32767,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
221,Gerard Test Dungeon,32640,32895,32640,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
237,Jim\'s Dungeon,32704,32767,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
240,Kent Castle Dungeon 1F,32640,32767,33024,33151,1,1,1,0,0,0,1,1,1,1,1,1,1,1
241,Kent Castle Dungeon 2F,32704,32831,32832,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
242,Kent Castle Dungeon 3F,32704,32831,32896,33087,1,1,1,0,0,0,1,1,1,1,1,1,1,1
243,Kent Castle Dungeon 4F,32640,32767,32832,33023,1,1,1,0,0,0,1,1,1,1,1,1,1,1
244,Polluted Land of Blessing,32704,33023,32768,33087,1,1,1,0,0,0,1,1,1,1,1,1,1,1
248,Giran Castle Dungeon 1F Taros\'s Inner Castle,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
249,Giran Castle Dungeon 2F Trap of Greedy Person,32704,32831,32832,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
250,Giran Castle Dungeon 3F Greedy Hall,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
251,Giran Castle Dungeon Taros\'s Room,32768,32831,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
252,Heine Castle Dungeon Underground Prison of Heine,32576,32767,32832,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
253,Heine Castle Dungeon Kingdom of Eva,32704,32831,32832,33023,1,1,1,1,0,0,1,1,1,1,0,0,1,1
254,Heine Castle Dungeon Barbados\'s Lair,32576,32767,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
255,Dwarf Castle Dungeon Dwarf Mine,32640,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
256,Dwarf Castle Dungeon Savage Land,32640,32895,32768,33023,1,1,1,0,0,0,1,1,1,1,1,1,1,1
257,Aden Castle Dungeon 1F Corridor of The Dead,32640,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
258,Aden Castle Dungeon 2F Grave of The Dead,32576,32831,32768,33151,1,1,1,0,0,0,1,1,1,1,1,1,1,1
259,Aden Castle Dungeon 3F Corridor of The Dead,32704,32767,32768,33023,1,1,1,0,0,0,1,1,1,1,1,1,1,1
261,Outpost of 1st Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
262,Hidden Outpost of 1st Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
263,Outpost of 2nd Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
264,Outpost of 3rd Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
265,Outpost of 4th Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
266,Outpost of 5th Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
267,Hidden Outpost of 2nd Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
268,Outpost of 6th Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
269,Outpost of 7th Orc troops,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
270,Ivory Tower Secret Research Lab,32704,32767,32768,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
271,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
272,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
273,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
274,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
275,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
276,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
277,Crystal Cavern,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
278,Crystal Cavern,32704,32895,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
279,Outpost of 8th Orc troopsｰ,32704,32895,32768,32959,1,1,1,0,0,0,1,1,1,1,1,1,1,1
280,Janus\'s Ivory Tower 4F Barlog Camp,32832,32959,32704,32831,1,1,1,0,0,0,1,1,1,1,1,1,1,1
281,Janus\'s Ivory Tower 5F Barlog Camp,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
282,Janus\'s Ivory Tower 6F Barlog Camp,32704,32831,32768,32895,1,1,1,0,0,0,1,1,1,1,1,1,1,1
