id,note,type,gfx_id,is_detectionable,base,dice,dice_count,poison_type,poison_delay,poison_time,poison_damage,monster_npc_id,monster_count,teleport_x,teleport_y,teleport_map_id,skill_id,skill_time_seconds,switch_id
75,유령의 집 텔레포트,L1TeleportTrap,0,0,0,0,0,-,0,0,0,0,0,32747,32867,5140,0,0,0
76,유령의 집 텔레포트,L1TeleportTrap,0,0,0,0,0,-,0,0,0,0,0,32785,32819,5140,0,0,0
77,유령의 집 텔레포트,L1TeleportTrap,0,0,0,0,0,-,0,0,0,0,0,32797,32869,5140,0,0,0
78,과거 TIC2F 스위치 -4 type1,L1TrodSwitch,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,2
79,과거 TIC2F 스위치 -4 type2,L1TrodSwitch,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,3
80,과거 TIC2F 스위치 -4 type3,L1TrodSwitch,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,4
81,과거 TIC2F 스위치 -8,L1TrodSwitch,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,5
82,과거 TIC2F 스위치-RuneBlack,L1TrodSwitch,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,6
83,과거 TIC2F 스위치-Single,L1TrodSwitch,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,7
84,과거 TIC2F 스위치-Single,L1TrodSwitch,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,8
85,과거 TIC2F 텔레포트 → 뼈 방,L1TrodSwitch,0,0,0,0,0,-,0,0,0,0,0,32787,32821,0,0,0,1
86,과거 TIC2F 스위치-Single,L1TrodSwitch,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,9
87,과거 TIC2F 스위치-Single,L1TrodSwitch,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,10
88,과거 TIC2F 스위치-Single,L1TrodSwitch,0,0,0,0,0,n,0,0,0,0,0,0,0,0,0,0,11
89,과거 TI 하딘 → 과거 TIC2F,L1TrodSwitch,0,0,0,0,0,-,0,0,0,0,0,32666,32797,0,0,0,12
