area,loc_x,loc_y,map_id,note
137,33926,33346,4,Orcish Forest
138,33926,33346,4,Orcish Forest
139,33926,33346,4,Orcish Forest
140,33926,33346,4,Orcish Forest
141,33926,33346,4,Orcish Forest
142,33926,33346,4,Orcish Forest
143,33926,33346,4,Orcish Forest
144,33926,33346,4,Orcish Forest
145,33926,33346,4,Orcish Forest
146,33926,33346,4,Orcish Forest
147,33926,33346,4,Orcish Forest
148,33926,33346,4,Orcish Forest
149,33926,33346,4,Orcish Forest
150,33926,33346,4,Orcish Forest
151,33926,33346,4,Orcish Forest
152,33926,33346,4,Orcish Forest
153,33926,33346,4,Orcish Forest
154,33926,33346,4,Orcish Forest
155,33926,33346,4,Orcish Forest
156,33926,33346,4,Orcish Forest
157,33926,33346,4,Orcish Forest
158,33926,33346,4,Orcish Forest
159,33926,33346,4,Orcish Forest
160,33926,33346,4,Orcish Forest
161,33926,33346,4,Orcish Forest
162,33926,33346,4,Orcish Forest
163,33926,33346,4,Orcish Forest
164,33926,33346,4,Orcish Forest
165,33926,33346,4,Orcish Forest
166,33926,33346,4,Orcish Forest
167,33926,33346,4,Orcish Forest
168,33926,33346,4,Orcish Forest
169,33926,33346,4,Orcish Forest
170,33926,33346,4,Orcish Forest
171,33926,33346,4,Orcish Forest
172,33926,33346,4,Orcish Forest
173,33926,33346,4,Orcish Forest
174,33926,33346,4,Orcish Forest
175,33926,33346,4,Orcish Forest
176,33926,33346,4,Orcish Forest
177,33926,33346,4,Orcish Forest
178,33926,33346,4,Orcish Forest
179,33926,33346,4,Orcish Forest
180,33926,33346,4,Orcish Forest
181,33926,33346,4,Orcish Forest
182,33926,33346,4,Orcish Forest
183,33926,33346,4,Orcish Forest
184,33926,33346,4,Orcish Forest
185,33926,33346,4,Orcish Forest
186,33926,33346,4,Orcish Forest
187,33926,33346,4,Orcish Forest
188,33926,33346,4,Orcish Forest
189,33926,33346,4,Orcish Forest
190,33926,33346,4,Orcish Forest
191,33926,33346,4,Orcish Forest
192,33926,33346,4,Orcish Forest
193,33926,33346,4,Orcish Forest
194,33926,33346,4,Orcish Forest
195,33926,33346,4,Orcish Forest
196,33926,33346,4,Orcish Forest
197,33926,33346,4,Orcish Forest
198,33926,33346,4,Orcish Forest
199,33926,33346,4,Orcish Forest
200,33926,33346,4,Orcish Forest
303,33976,32936,4,Orcish Forest
446,32297,33087,440,Pirate Island
447,32750,32874,445,Hidden Dock to Pirate Island
451,32744,32818,450,Front Gate of Lastavard
452,32744,32818,450,Front Gate of Lastavard
453,32744,32818,450,Front Gate of Lastavard
454,32744,32818,450,Front Gate of Lastavard
455,32744,32818,450,Front Gate of Lastavard
456,32744,32818,450,Front Gate of Lastavard
460,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
461,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
462,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
463,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
464,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
465,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
466,32667,32863,457,Lastavard Castle 1F Off-Limits Area of Darkness
470,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
471,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
472,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
473,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
474,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
475,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
476,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
477,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
478,32671,32855,467,Lastavard Castle 2F Off-Limits Area of Blackness
490,32744,32818,450,Front Gate of Lastavard
491,32744,32818,450,Front Gate of Lastavard
492,32744,32818,450,Front Gate of Lastavard
493,32744,32818,450,Front Gate of Lastavard
494,32744,32818,450,Front Gate of Lastavard
495,32744,32818,450,Front Gate of Lastavard
496,32744,32818,450,Front Gate of Lastavard
530,32744,32792,536,Lastavard Castle 3F Off-Limits Area of Darkness
531,32744,32792,536,Lastavard Castle 3F Off-Limits Area of Darkness
532,32744,32792,536,Lastavard Castle 3F Off-Limits Area of Darkness
533,32744,32792,536,Lastavard Castle 3F Off-Limits Area of Darkness
534,32744,32792,536,Lastavard Castle 3F Off-Limits Area of Darkness
535,32744,32792,536,Lastavard Castle 3F Off-Limits Area of Darkness
550,32844,32694,550,Ship Grave Area
551,32844,32694,550,Ship Grave Area
552,32844,32694,550,Ship Grave Area
554,32844,32694,550,Ship Grave Area
555,32844,32694,550,Ship Grave Area
557,32844,32694,550,Ship Grave Area
558,32844,32694,550,Ship Grave Area
600,32608,33178,4,Orcish Forest
601,32608,33178,4,Orcish Forest
608,34053,32284,4,Orcish Forest
777,34043,32184,4,Orcish Forest
778,32608,33178,4,Orcish Forest
779,32608,33178,4,Orcish Forest
780,33966,33253,4,Orcish Forest
781,33966,33253,4,Orcish Forest
782,33966,33253,4,Orcish Forest
783,32795,32751,783,Tikal Ruin
784,32795,32751,783,Tikal Ruin
1002,33705,32504,4,Orcish Forest
1005,33710,32521,4,Orcish Forest
1006,33710,32521,4,Orcish Forest
1007,33710,32521,4,Orcish Forest
1008,33710,32521,4,Orcish Forest
1009,33710,32521,4,Orcish Forest
1010,33710,32521,4,Orcish Forest
1011,33710,32521,4,Orcish Forest
1012,33710,32521,4,Orcish Forest
1013,33710,32521,4,Orcish Forest
1014,33710,32521,4,Orcish Forest
1015,33710,32521,4,Orcish Forest
1016,33710,32521,4,Orcish Forest
1017,33710,32521,4,Orcish Forest
1018,33710,32521,4,Orcish Forest
1019,33710,32521,4,Orcish Forest
1020,33710,32521,4,Orcish Forest
1021,33710,32521,4,Orcish Forest
1022,33710,32521,4,Orcish Forest
2005,32691,32864,2005,Northern Valley(Beginners Zone)
5124,32815,32809,5124,Fishing Place
5125,32628,32781,4,Orcish Forest
5131,32628,32781,4,Orcish Forest
5132,32628,32781,4,Orcish Forest
5133,32628,32781,4,Orcish Forest
5134,32628,32781,4,Orcish Forest
5140,32624,32813,4,Orcish Forest
5143,32628,32772,4,Orcish Forest
8000,32814,32806,8000,Zipangu
16384,32599,32931,0,Talking Island
16896,32599,32931,0,Talking Island
17408,32631,32761,4,Orcish Forest
17920,32631,32761,4,Orcish Forest
18432,33437,32790,4,Orcish Forest
18944,33437,32790,4,Orcish Forest
19456,34067,32254,4,Orcish Forest
19968,34067,32254,4,Orcish Forest
20480,32627,33167,4,Orcish Forest
20992,32627,33167,4,Orcish Forest
21504,33115,33379,4,Orcish Forest
22016,33115,33379,4,Orcish Forest
22528,33604,33276,4,Orcish Forest
23040,33604,33276,4,Orcish Forest
