id,name,unidentified_name_id,identified_name_id,type,is_twohanded,material,weight,inv_gfx_id,grd_gfx_id,item_desc_id,dmg_small,dmg_large,range,safe_enchant,use_royal,use_knight,use_wizard,use_elf,use_darkelf,use_dragonknight,use_illusionist,hit_modifier,dmg_modifier,str,con,dex,int,wis,cha,hp,mp,hpr,mpr,sp,mr,is_haste,double_dmg_chance,weakness_exposure,magic_dmg_modifier,can_be_dmg,min_level,max_level,bless,tradable,deletable,charge_time,expiration_time
20,오리하루콘 검신,$787,$787,sword,0,orichalcum,35000,321,890,0,4,4,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
21,오크족 검,$99,$99,sword,0,iron,30000,105,26,0,4,4,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
22,메일 브레이커,$793,$793,sword,0,orichalcum,40000,276,26,276,4,5,1,6,1,1,1,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
23,넓은 검,$66,$66,sword,0,iron,70000,21,82,0,4,6,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
24,짧은 검,$100,$100,sword,0,iron,30000,106,26,0,6,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
25,은검,$1148,$1148,sword,0,silver,40000,156,26,0,7,7,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
26,난쟁이족 검,$97,$97,sword,0,iron,40000,103,26,0,7,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
27,언월도,$92,$92,sword,0,iron,40000,90,76,0,8,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
28,요정족 검,$98,$98,sword,0,mithril,20000,325,26,284,8,8,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
29,은장검,$1147,$1147,sword,0,silver,50000,163,356,0,8,12,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
30,붉은 기사의 검,$313,$313,sword,0,iron,40000,441,3,123,8,12,1,6,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
31,장검,$0,$0,sword,0,iron,40000,2,3,0,8,12,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
32,그라디우스,$415,$415,sword,0,iron,40000,151,355,0,9,11,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
33,명예의 검,$3790,$3790,sword,0,iron,50000,1871,4759,1807,9,12,1,6,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
34,붉은 욕망의 검,$3795,$3795,dagger,0,mithril,20000,1872,3,1812,10,8,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
35,상아탑의 한손검,$3279,$3279,sword,0,iron,40000,2,26,1320,10,10,1,6,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,\N
36,환상의 검,$1997,$1997,sword,0,iron,40000,932,26,0,10,10,1,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
37,다마스커스 검,$598,$598,sword,0,iron,45000,298,3,235,10,11,1,6,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
38,라스타바드 장검,$2903,$2903,sword,0,iron,30000,1335,3422,1076,10,12,1,6,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
39,커트라스,$3504,$3504,sword,0,iron,50000,1778,4352,0,10,12,1,6,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
40,피의 대검,$3864,$3864,twohandsword,1,iron,160000,1918,4979,0,13,15,1,6,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
41,일본도,$16,$16,sword,0,iron,40000,58,26,0,10,12,1,6,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
42,레이피어,$789,$789,sword,0,orichalcum,60000,104,3,0,11,6,1,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
43,샴쉬르,$3505,$3505,sword,0,orichalcum,60000,1779,4353,1497,11,6,1,6,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
44,고대 다크엘프의 검,$2772,$2772,sword,0,mithril,20000,1250,3314,1006,12,12,1,6,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
45,포르세의 검,$428,$428,sword,0,iron,50000,155,355,152,11,12,1,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
46,생명의 검,$1553,$1553,sword,0,iron,40000,58,26,0,11,12,1,9,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
47,침묵의 검,$3110,$3110,sword,0,iron,60000,1511,3733,1198,12,12,1,6,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
48,상아탑의 양손검,$3280,$3280,twohandsword,1,iron,150000,21,82,1321,15,15,1,6,1,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,\N
49,무관의 장검,$3840,$3840,sword,0,iron,120000,1894,4955,0,13,10,1,6,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
50,화염의 검,$2353,$2353,sword,0,silver,80000,1019,3,790,14,6,1,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,1,0,\N
51,황금 지휘봉,$2354,$2354,sword,0,gold,110000,1020,781,791,14,14,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,1,0,\N
52,양손검,$3,$3,twohandsword,1,iron,150000,4,59,0,17,21,1,6,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
53,리자드맨 용사의 검,$3796,$3796,twohandsword,1,iron,150000,1876,3,1813,17,21,1,6,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
54,커츠의 검,$2777,$2777,sword,0,iron,40000,1243,3266,1098,15,11,1,6,1,1,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
55,어둠의 칼날,$3863,$3863,sword,0,iron,100000,1917,4978,0,15,12,1,6,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
56,데스 블레이드,$2350,$2350,sword,0,iron,100000,1016,3,787,16,8,1,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,\N
57,싸울아비 장검,$17,$17,sword,0,steel,120000,112,3,0,16,10,1,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
58,데스 나이트의 불검,$2758,$2758,sword,0,iron,40000,1259,3304,992,16,10,1,6,0,1,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
59,나이트발드의 양손검,$2859,$2859,twohandsword,1,steel,100000,1181,3131,0,22,28,1,6,0,1,0,0,0,1,0,-1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
60,둠 블레이드,$417,$417,sword,0,iron,50000,58,26,0,16,16,1,6,1,1,1,1,1,0,0,20,120,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,1,0,\N
61,진명황의 집행검,$3834,$3834,twohandsword,1,blackmithril,100000,1945,5002,0,28,33,1,0,0,1,0,0,0,1,0,5,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
62,무관의 양손검,$3839,$3839,twohandsword,1,iron,150000,1893,4954,0,19,23,1,6,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
63,악마의 칼,$3375,$3375,sword,0,iron,40000,1720,4317,1411,17,9,1,6,1,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,\N
64,대검,$1048,$1048,twohandsword,1,iron,150000,463,3,0,20,17,1,6,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
65,천상의 검,$2253,$2253,sword,0,iron,5000,1010,26,760,17,19,1,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,\N
66,드래곤 슬레이어,$1020,$1020,twohandsword,1,steel,180000,438,3,0,24,33,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
67,고대의 대검,$1951,$1951,twohandsword,1,iron,70000,897,3,671,27,45,1,-1,1,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,1,1,0,\N
68,고대의 검,$1950,$1950,sword,0,iron,30000,902,26,672,35,20,1,-1,1,1,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,1,1,0,\N
69,구리빛 이도류,$2458 $2449,$2458 $2449,dualsword,1,iron,20000,1067,2923,862,8,6,1,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1,1,0,\N
70,송곳날 이도류,$3866,$3866,dualsword,1,iron,30000,1920,4981,859,8,8,1,6,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
71,강철 이도류,$2459 $2449,$2459 $2449,dualsword,1,iron,30000,1090,2929,863,10,7,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1,1,0,\N
72,그림자 이도류,$2460 $2449,$2460 $2449,dualsword,1,iron,30000,1083,2930,859,11,7,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1,1,0,\N
73,상아탑의 이도류,$3286,$3286,dualsword,1,iron,20000,1072,2923,1327,11,8,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,1,0,\N
74,은색의 이도류,$656 $2449,$656 $2449,dualsword,1,silver,20000,1085,2926,849,11,8,1,6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1,1,0,\N
75,어둠의 이도류,$2452 $2449,$2452 $2449,dualsword,1,steel,20000,1072,2925,846,12,8,1,6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
76,론드의 이도류,$2759,$2759,dualsword,1,iron,30000,1260,3305,993,12,8,1,6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1,1,0,\N
77,짧은 이도류,$2461 $2449,$2461 $2449,dualsword,1,iron,25000,1088,2924,860,13,8,1,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1,1,0,\N
78,암살군왕의 암살도,$3860,$3860,dualsword,1,platinum,20000,1914,4975,0,13,13,1,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
79,심연의 이도류,$3791,$3791,dualsword,1,steel,20000,1875,4763,1808,14,10,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
80,다마스커스 이도류,$2462 $2449,$2462 $2449,dualsword,1,iron,40000,1069,2931,861,15,9,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
81,흑빛의 이도류,$2453 $2449,$2453 $2449,dualsword,1,steel,30000,1064,2927,851,15,10,1,6,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
82,라스타바드 이도류,$2904,$2904,dualsword,1,iron,40000,1324,3431,1077,15,10,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
83,디아드요새 이도류,$3111,$3111,dualsword,1,iron,40000,1512,3734,1199,15,11,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
84,흑왕도,$2455,$2455,dualsword,1,platinum,40000,1078,2928,854,18,14,1,6,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
85,악마의 이도류,$3376,$3376,dualsword,1,iron,30000,1785,4362,1412,18,13,1,6,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,1,1,0,\N
86,붉은 그림자의 이도류,$3836,$3836,dualsword,1,blackmithril,50000,1949,5004,0,30,20,1,0,0,0,0,0,1,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,0,\N
87,알려지지 않은 창,$2760,$2760,spear,1,bone,0,1228,3306,994,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
88,판의 뿔,$783,$783,spear,0,bone,12000,317,887,0,2,2,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
89,미스릴 도금 뿔,$791,$791,spear,0,steel,24000,315,887,0,4,4,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
90,바르디쉐,$62,$62,spear,1,steel,120000,11,5,0,10,12,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
91,오크족 창,$96,$96,spear,0,steel,30000,100,27,0,4,6,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
92,빌귀사름,$63,$63,spear,1,steel,120000,13,5,0,10,17,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
93,삼지창,$102,$102,spear,0,steel,25000,111,77,0,5,4,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
94,파르티잔,$87,$87,spear,0,steel,80000,72,5,0,6,6,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
95,기병창,$81,$81,spear,0,steel,180000,60,71,0,6,8,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
96,창,$25,$25,spear,0,steel,80000,98,27,0,6,8,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
97,귀사름,$76,$76,spear,1,steel,80000,48,5,0,12,14,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
98,넓은 창,$75,$75,spear,1,steel,75000,45,5,0,12,16,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
99,요정족 창,$95,$95,spear,0,mithril,30000,99,5,0,7,8,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
100,오리하루콘 도금 뿔,$792,$792,spear,0,orichalcum,55000,316,887,0,7,8,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
101,라스타바드 한손창,$2906,$2906,spear,0,steel,80000,1333,3432,1080,8,8,2,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,\N
102,루선해머,$83,$83,spear,1,steel,150000,66,5,0,15,17,2,6,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
103,미늘창,$77,$77,spear,1,steel,150000,50,5,0,16,12,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
104,포챠드,$73,$73,spear,1,orichalcum,60000,41,5,0,16,16,2,6,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
105,상아탑의 창,$3282,$3282,spear,1,steel,100000,98,27,1323,16,17,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,\N
106,벡드코빈,$71,$71,spear,1,steel,100000,38,5,0,17,17,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
107,크림슨 랜스,$3250,$3250,spear,1,mithril,100000,38,4119,1285,21,21,2,6,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
108,마력을 잃은 데몬의 지팡이,$2764,$2764,staff,0,bone,1000,1240,3310,998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,\N
109,마력을 잃은 바포메트의 지팡이,$2766,$2766,staff,0,bone,1000,1255,3264,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,\N
110,마력을 잃은 베레스의 지팡이,$2768,$2768,staff,0,bone,1000,1257,3265,1002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,\N
111,마력을 잃은 얼음 여왕의 지팡이,$2754,$2754,staff,0,steel,20000,1239,3262,1094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,\N
112,요정족 검,$801,$801,sword,0,mithril,20000,325,26,0,8,8,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,\N
113,민첩도 향상 요정족 검,$802,$802,sword,0,mithril,20000,325,26,347,8,8,1,6,1,1,1,1,1,0,0,0,0,0,0,1,-1,0,0,-15,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,\N
114,위엄의 상징,$4386,$4386,blunt,0,iron,20000,2228,5606,2102,14,16,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,1,0,\N
115,수정 지팡이,$2080,$2080,staff,0,wood,15000,939,75,711,1,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,\N
116,블랙 위자드의 스태프,$3089,$3089,staff,0,steel,15000,1487,3709,1177,1,1,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,1,0,\N
117,라이아의 완드,$3078,$3078,staff,0,wood,15000,1516,3791,1166,1,1,1,6,0,0,1,0,0,0,1,-3,0,0,0,0,0,0,0,0,0,0,10,-2,0,1,0,0,0,0,0,0,0,1,1,0,\N
118,칠흑의 수정구,$3793,$3793,staff,0,steel,15000,1878,773,1810,1,1,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,\N
119,데몬의 지팡이,$2991,$2991,staff,0,bone,1000,1240,3310,1095,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,\N
120,상아탑의 지팡이,$3285,$3285,staff,0,wood,15000,83,75,1326,3,3,1,6,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,\N
