id,trap_id,note,map_id,loc_x,loc_y,loc_rnd_x,loc_rnd_y,count,span
186,3,데미지 독,482,32727,32741,0,0,1,0
187,63,프랑코 미로 라버 본 솔져,482,32727,32747,0,0,1,10000
188,4,침묵 독,482,32730,32744,0,0,1,0
189,5,마비 독,482,32799,32736,0,0,1,0
190,65,프랑코 미로 라버 본 헤드,482,32774,32740,0,0,1,10000
191,65,프랑코 미로 라버 본 헤드,482,32728,32784,0,0,1,10000
192,6,메테오,482,32734,32844,0,0,1,0
193,3,데미지 독,482,32731,32850,0,0,1,0
194,66,프랑코 미로 라버 본 나이프,482,32770,32857,0,0,1,10000
195,65,프랑코 미로 라버 본 헤드,482,32776,32848,0,0,1,10000
196,5,마비 독,482,32770,32847,0,0,1,0
197,6,메테오,482,32741,32850,0,0,1,0
198,65,프랑코 미로 라버 본 헤드,482,32703,32868,0,0,1,10000
199,5,마비 독,482,32700,32866,0,0,1,0
200,4,침묵 독,482,32752,32781,0,0,1,0
201,63,프랑코 미로 라버 본 솔져,482,32788,32769,0,0,1,10000
202,64,프랑코 미로 라버 본 아처,482,32781,32802,0,0,1,10000
203,5,마비 독,482,32771,32804,0,0,1,0
204,65,프랑코 미로 라버 본 헤드,482,32778,32758,0,0,1,10000
205,66,프랑코 미로 라버 본 나이프,482,32737,32792,0,0,1,10000
206,4,침묵 독,482,32737,32804,0,0,1,0
207,4,침묵 독,482,32753,32810,0,0,1,0
208,65,프랑코 미로 라버 본 헤드,482,32731,32792,0,0,1,10000
209,66,프랑코 미로 라버 본 나이프,482,32731,32798,0,0,1,10000
210,5,마비 독,482,32731,32804,0,0,1,0
211,63,프랑코 미로 라버 본 솔져,482,32668,32760,0,0,1,10000
212,64,프랑코 미로 라버 본 아처,482,32673,32765,0,0,1,10000
213,3,데미지 독,482,32676,32779,0,0,1,0
214,4,침묵 독,482,32678,32782,0,0,1,0
215,65,프랑코 미로 라버 본 헤드,482,32680,32788,0,0,1,10000
216,66,프랑코 미로 라버 본 나이프,482,32673,32787,0,0,1,10000
217,4,침묵 독,482,32672,32813,0,0,1,0
218,5,마비 독,482,32682,32816,0,0,1,0
219,6,메테오,482,32689,32804,0,0,1,0
220,63,프랑코 미로 라버 본 솔져,482,32697,32810,0,0,1,10000
221,64,프랑코 미로 라버 본 아처,482,32694,32813,0,0,1,10000
222,3,데미지 독,482,32743,32844,0,0,1,0
223,4,침묵 독,482,32704,32829,0,0,1,0
224,65,프랑코 미로 라버 본 헤드,482,32706,32836,0,0,1,10000
225,66,프랑코 미로 라버 본 나이프,482,32702,32839,0,0,1,10000
226,6,메테오,482,32724,32808,0,0,1,0
227,63,프랑코 미로 라버 본 솔져,482,32723,32756,0,0,1,10000
228,5,마비 독,482,32726,32754,0,0,1,0
229,65,프랑코 미로 라버 본 헤드,482,32732,32756,0,0,1,10000
230,66,프랑코 미로 라버 본 나이프,482,32715,32802,0,0,1,10000
231,4,침묵 독,482,32795,32811,0,0,1,0
232,4,침묵 독,482,32793,32802,0,0,1,0
233,65,프랑코 미로 라버 본 헤드,482,32743,32792,0,0,1,10000
234,66,프랑코 미로 라버 본 나이프,482,32743,32798,0,0,1,10000
235,5,마비 독,482,32743,32804,0,0,1,0
236,6,메테오,482,32777,32736,0,0,1,0
237,67,프랑코 미로 출발점,482,32786,32826,0,0,1,0
238,67,프랑코 미로 출발점,482,32663,32846,0,0,1,0
239,67,프랑코 미로 출발점,482,32745,32844,0,0,1,0
240,67,프랑코 미로 출발점,482,32712,32804,0,0,1,0
241,67,프랑코 미로 출발점,482,32695,32782,0,0,1,0
242,63,프랑코 미로 라버 본 솔져,483,32750,32817,0,0,1,10000
243,64,프랑코 미로 라버 본 아처,483,32740,32834,0,0,1,10000
244,5,마비 독,483,32735,32851,0,0,1,0
245,4,침묵 독,483,32749,32843,0,0,1,0
246,65,프랑코 미로 라버 본 헤드,483,32781,32801,0,0,1,10000
247,68,디에고의 폐쇄 된 감옥 출발점,483,32780,32802,0,0,1,0
248,3,데미지 독,483,32781,32803,0,0,1,0
249,6,메테오,483,32782,32802,0,0,1,0
250,6,메테오,483,32783,32807,0,0,1,0
251,68,디에고의 폐쇄 된 감옥 출발점,483,32790,32800,0,0,1,0
252,66,프랑코 미로 라버 본 나이프,483,32783,32809,0,0,1,10000
253,68,디에고의 폐쇄 된 감옥 출발점,483,32782,32808,0,0,1,0
254,6,메테오,483,32789,32802,0,0,1,0
255,65,프랑코 미로 라버 본 헤드,483,32793,32803,0,0,1,10000
256,6,메테오,483,32793,32801,0,0,1,0
257,64,프랑코 미로 라버 본 아처,483,32793,32799,0,0,1,10000
258,71,유령의 집 슬로우,483,32795,32799,0,0,1,0
259,4,침묵 독,483,32783,32813,0,0,1,0
260,68,디에고의 폐쇄 된 감옥 출발점,483,32782,32814,0,0,1,0
261,64,프랑코 미로 라버 본 아처,483,32783,32815,0,0,1,10000
262,6,메테오,483,32784,32814,0,0,1,0
263,66,프랑코 미로 라버 본 나이프,483,32783,32815,0,0,1,10000
264,68,디에고의 폐쇄 된 감옥 출발점,483,32779,32817,0,0,1,0
265,65,프랑코 미로 라버 본 헤드,483,32780,32818,0,0,1,10000
266,64,프랑코 미로 라버 본 아처,483,32789,32813,0,0,1,10000
267,5,마비 독,483,32788,32814,0,0,1,0
268,68,디에고의 폐쇄 된 감옥 출발점,483,32789,32815,0,0,1,0
269,69,유령의 집 패럴 라이즈,483,32790,32814,0,0,1,0
270,4,침묵 독,483,32786,32820,0,0,1,0
271,6,메테오,483,32787,32819,0,0,1,0
272,5,마비 독,483,32795,32813,0,0,1,0
273,6,메테오,483,32794,32814,0,0,1,0
274,68,디에고의 폐쇄 된 감옥 출발점,483,32796,32814,0,0,1,0
275,65,프랑코 미로 라버 본 헤드,483,32795,32815,0,0,1,10000
276,3,데미지 독,483,32796,32810,0,0,1,0
277,64,프랑코 미로 라버 본 아처,483,32797,32811,0,0,1,10000
278,69,유령의 집 패럴 라이즈,483,32791,32818,0,0,1,0
279,68,디에고의 폐쇄 된 감옥 출발점,483,32791,32820,0,0,1,0
280,5,마비 독,483,32792,32819,0,0,1,0
281,6,메테오,483,32796,32819,0,0,1,0
282,4,침묵 독,483,32797,32818,0,0,1,0
283,6,메테오,483,32798,32810,0,0,1,0
284,68,디에고의 폐쇄 된 감옥 출발점,483,32799,32809,0,0,1,0
285,5,마비 독,483,32799,32811,0,0,1,0
286,65,프랑코 미로 라버 본 헤드,483,32800,32810,0,0,1,10000
287,6,메테오,483,32802,32809,0,0,1,0
288,68,디에고의 폐쇄 된 감옥 출발점,483,32801,32808,0,0,1,0
289,66,프랑코 미로 라버 본 나이프,483,32803,32808,0,0,1,10000
290,3,데미지 독,483,32802,32807,0,0,1,0
291,6,메테오,483,32807,32807,0,0,1,0
292,68,디에고의 폐쇄 된 감옥 출발점,483,32806,32808,0,0,1,0
293,6,메테오,483,32800,32807,0,0,1,0
294,4,침묵 독,483,32800,32802,0,0,1,0
295,6,메테오,483,32803,32803,0,0,1,0
296,3,데미지 독,483,32804,32804,0,0,1,0
297,66,프랑코 미로 라버 본 나이프,483,32803,32803,0,0,1,10000
298,68,디에고의 폐쇄 된 감옥 출발점,483,32804,32802,0,0,1,0
299,6,메테오,483,32804,32800,0,0,1,0
300,68,디에고의 폐쇄 된 감옥 출발점,483,32802,32800,0,0,1,0
301,64,프랑코 미로 라버 본 아처,483,32803,32799,0,0,1,10000
302,68,디에고의 폐쇄 된 감옥 출발점,483,32802,32813,0,0,1,0
303,5,마비 독,483,32806,32812,0,0,1,0
304,66,프랑코 미로 라버 본 나이프,483,32807,32813,0,0,1,0
305,63,프랑코 미로 라버 본 솔져,483,32808,32814,0,0,1,10000
306,6,메테오,483,32802,32815,0,0,1,0
307,5,마비 독,483,32801,32816,0,0,1,0
308,68,디에고의 폐쇄 된 감옥 출발점,483,32803,32816,0,0,1,0
309,68,디에고의 폐쇄 된 감옥 출발점,483,32780,32837,0,0,1,0
310,5,마비 독,483,32795,32847,0,0,1,0
311,5,마비 독,483,32735,32831,0,0,1,0
312,68,디에고의 폐쇄 된 감옥 출발점,483,32761,32807,0,0,1,0
313,63,프랑코 미로 라버 본 솔져,483,32803,32814,0,0,1,10000
314,65,프랑코 미로 라버 본 헤드,483,32805,32803,0,0,1,10000
315,5,마비 독,483,32805,32898,0,0,1,0
316,4,침묵 독,483,32788,32927,0,0,1,0
317,5,마비 독,483,32747,32864,0,0,1,0
318,5,마비 독,483,32782,32907,0,0,1,0
319,5,마비 독,483,32773,32880,0,0,1,0
320,5,마비 독,483,32748,32914,0,0,1,0
321,5,마비 독,484,32732,32821,0,0,1,0
322,64,프랑코 미로 라버 본 아처,484,32738,32821,0,0,1,10000
323,4,침묵 독,484,32759,32800,0,0,1,0
324,66,프랑코 미로 라버 본 나이프,484,32769,32792,0,0,1,10000
325,6,메테오,484,32772,32793,0,0,1,0
326,64,프랑코 미로 라버 본 아처,484,32792,32796,0,0,1,10000
327,65,프랑코 미로 라버 본 헤드,484,32807,32793,0,0,1,10000
328,2,힐,484,32804,32796,0,0,1,10000
329,5,마비 독,484,32801,32810,0,0,1,0
330,4,침묵 독,484,32806,32830,0,0,1,0
331,66,프랑코 미로 라버 본 나이프,484,32792,32826,0,0,1,10000
332,5,마비 독,484,32792,32841,0,0,1,0
333,65,프랑코 미로 라버 본 헤드,484,32809,32846,0,0,1,10000
334,3,데미지 독,484,32787,32844,0,0,1,0
335,5,마비 독,484,32784,32862,0,0,1,0
336,66,프랑코 미로 라버 본 나이프,484,32779,32848,0,0,1,10000
337,70,유령의 집 블라인드,484,32774,32828,0,0,1,0
338,64,프랑코 미로 라버 본 아처,484,32762,32845,0,0,1,10000
339,5,마비 독,484,32763,32850,0,0,1,0
340,69,유령의 집 패럴 라이즈,484,32761,32853,0,0,1,0
341,66,프랑코 미로 라버 본 나이프,484,32779,32801,0,0,1,10000
342,69,유령의 집 패럴 라이즈,5140,32818,32821,76,53,150,0
343,70,유령의 집 블라인드,5140,32818,32821,76,53,150,0
344,71,유령의 집 슬로우,5140,32818,32821,76,53,150,0
345,72,유령의 집 헤이스트,5140,32818,32821,76,53,150,0
346,73,유령의 집 텔레포트,5140,32818,32821,76,53,10,0
347,74,유령의 집 텔레포트,5140,32818,32821,76,53,10,0
348,75,유령의 집 텔레포트,5140,32818,32821,76,53,10,0
349,76,유령의 집 텔레포트,5140,32818,32821,76,53,10,0
350,77,유령의 집 텔레포트,5140,32818,32821,76,53,10,0
