item_id,note,crystal_count
120052,난쟁이족 망토,10
20056,마법 망토,20
120056,마법 망토,20
220056,마법 망토,20
20058,무관의 망토,500
20063,보호 망토,2000
20070,어둠의 망토,1000
20072,오크족 망토,5
20073,요정족 망토,120
20199,라스타바드 부츠,150
20205,부츠,200
20207,수중 부츠,200
20210,어둠의 부츠,1000
20213,짧은 부츠,30
220213,짧은 부츠,30
20217,푸른 해적 부츠,300
20223,난쟁이족 둥근 방패,25
120223,난쟁이족 둥근 방패,25
20224,라스타바드 라운드 실드,100
20229,반사 방패,1000
20231,사각 방패,700
20237,우럭하이 방패,9
220237,우럭하이 방패,9
20239,작은 방패,6
20242,큰 방패,120
120242,큰 방패,120
20306,낡은 신체의 벨트,1500
120306,낡은 신체의 벨트,1500
20307,낡은 영혼의 벨트,1500
120307,낡은 영혼의 벨트,1500
20308,낡은 정신의 벨트,1500
120308,낡은 정신의 벨트,1500
20312,신체의 벨트,1600
120312,신체의 벨트,1600
20316,영혼의 벨트,3000
120316,영혼의 벨트,3000
20319,정신의 벨트,3000
120319,정신의 벨트,3000
20321,트롤의 벨트,3000
120321,트롤의 벨트,3000
20254,매력의 목걸이,1000
120254,매력의 목걸이,1000
20256,민첩의 목걸이,1000
120256,민첩의 목걸이,1000
20264,완력의 목걸이,1000
120264,완력의 목걸이,1000
20266,지식의 목걸이,1000
120266,지식의 목걸이,1000
20267,지혜의 목걸이,1000
120267,지혜의 목걸이,1000
20268,체력의 목걸이,1000
120268,체력의 목걸이,1000
20263,오크 투사의 목걸이,6500
20281,변신 조종 반지,200000
20288,순간이동 조종 반지,400000
20284,소환 조종 반지,200000
20293,저주받은 다이아몬드 반지,2000
20294,저주받은 루비 반지,2000
20295,저주받은 사파이어 반지,2000
20296,저주받은 에메랄드 반지,2000
220293,저주받은 다이아몬드 반지,2000
220294,저주받은 루비 반지,2000
220295,저주받은 사파이어 반지,2000
220296,저주받은 에메랄드 반지,2000
20285,수령의 반지,200
20300,지령의 반지,200
20302,풍령의 반지,200
20304,화령의 반지,200
120285,수령의 반지,200
120300,지령의 반지,200
120302,풍령의 반지,200
120304,화령의 반지,200
20303,항마의 반지,200
40010,체력 회복제,3
140010,체력 회복제,3
240010,체력 회복제,3
40011,고급 체력 회복제,25
140011,고급 체력 회복제,25
40012,강력 체력 회복제,37
140012,강력 체력 회복제,37
40019,농축 체력 회복제,4
40020,농축 고급 체력 회복제,25
40021,농축 강력 체력 회복제,56
40017,해독제,7
40013,속도 향상 물약,20
140013,속도향상 물약,20
40018,강화 속도향상 물약,150
140018,강화 속도향상 물약,150
40016,지혜의 물약,60
140016,지혜의 물약,60
40014,용기의 물약,80
140014,용기의 물약,80
40015,마력 회복 물약,100
140015,마력 회복 물약,100
40068,엘븐 와퍼,50
140068,엘븐 와퍼,50
40317,숫돌,15
40126,확인 주문서,5
40100,순간이동 주문서,7
140100,순간이동 주문서,7
40119,저주 풀기 주문서,10
140119,저주 풀기 주문서,10
40079,귀환 주문서,12
40089,부활 주문서,100
140089,부활 주문서,100
40088,변신 주문서,130
140088,변신 주문서,130
40090,빈 주문서 (레벨 1),10
40091,빈 주문서 (레벨 2),40
40092,빈 주문서 (레벨 3),100
40093,빈 주문서 (레벨 4),250
40094,빈 주문서 (레벨 5),500
40170,마법서 (파이어볼),160
40171,마법서 (인챈트 덱스터리티),160
40172,마법서 (웨폰 브레이크),160
40173,마법서 (뱀파이어릭 터치),160
40174,마법서 (슬로우),160
40175,마법서 (카운터 매직),160
40176,마법서 (메디테이션),160
40177,마법서 (어스 재일),160
40178,마법서 (커스: 패럴라이즈),180
40179,마법서 (콜 라이트닝),180
40180,마법서 (그레이터 힐),180
40181,마법서 (테이밍 몬스터),180
40182,마법서 (리무브 커스),180
40183,마법서 (콘 오브 콜드),180
40184,마법서 (마나 드레인),180
40185,마법서 (다크니스),180
40186,마법서 (크리에이트 좀비),200
40187,마법서 (인챈트 마이티),200
40188,마법서 (헤이스트),200
40189,마법서 (캔슬레이션),200
40190,마법서 (이럽션),200
40191,마법서 (선 버스트),200
40192,마법서 (위크니스),200
40193,마법서 (블레스 웨폰),200
40194,마법서 (힐 올),220
40195,마법서 (아이스 랜스),220
40196,마법서 (서먼 몬스터),220
40197,마법서 (홀리 워크),220
40198,마법서 (토네이도),220
40199,마법서 (그레이터 헤이스트),220
40200,마법서 (버서커스),220
40201,마법서 (디지즈),220
40202,마법서 (풀 힐),240
40203,마법서 (파이어월),240
40204,마법서 (블리자드),240
40205,마법서 (인비지블리티),240
40206,마법서 (리절렉션),240
40207,마법서 (어스 퀘이크),240
40208,마법서 (라이프 스트림),240
40209,마법서 (사일런스),240
40210,마법서 (라이트닝 스톰),260
40211,마법서 (포그 오브 슬리핑),260
40212,마법서 (셰이프 체인지),260
40213,마법서 (이뮨 투 함),260
40214,마법서 (매스 텔레포트),260
40215,마법서 (파이어 스톰),260
40216,마법서 (디케이 포션),260
40217,마법서 (카운터 디텍션),260
40218,마법서 (크리에이트 매지컬 웨폰),280
40219,마법서 (미티어 스트라이크),280
40220,마법서 (그레이트 리절렉션),280
40221,마법서 (매스 슬로우),280
40222,마법서 (디스인티그레이트),280
40223,마법서 (앱솔루트 배리어),280
40224,마법서 (어드밴스 스피릿),280
40225,마법서 (프리징 블리자드),280
40265,흑정령의 수정 (블라인드 하이딩),50
40266,흑정령의 수정 (인챈트 베놈),50
40267,흑정령의 수정 (쉐도우 아머),50
40268,흑정령의 수정 (브링 스톤),50
40269,흑정령의 수정 (드레스 마이티),50
40270,흑정령의 수정 (무빙 악셀레이션),200
40271,흑정령의 수정 (버닝 스피릿츠),200
40272,흑정령의 수정 (다크 블라인드),200
40273,흑정령의 수정 (베놈 레지스트),200
40274,흑정령의 수정 (드레스 덱스터리티),200
40275,흑정령의 수정 (더블 브레이크),500
40276,흑정령의 수정 (언케니 닷지),500
40277,흑정령의 수정 (쉐도우 팽),500
40278,흑정령의 수정 (파이널 번),500
40279,흑정령의 수정 (드레스 이베이젼),500
42106,흑정령의 수정 (Armor Break),1000
40164,기술서 (쇼크 스턴),1000
40165,기술서 (리덕션 아머),1000
40166,기술서 (바운스 어택),1000
41147,기술서 (솔리드 캐리지),1000
41148,기술서 (카운터 배리어),1000
40232,정령의 수정 (레지스트 매직),100
40233,정령의 수정 (바디 투 마인드),100
40234,정령의 수정 (텔레포트 투 마더),100
40235,정령의 수정 (클리어 마인드),200
40236,정령의 수정 (레지스트 엘리멘트),200
40237,정령의 수정 (리턴 투 네이처),300
40238,정령의 수정 (블러드 투 소울),300
40239,정령의 수정 (프로텍션 프롬 엘리멘트),300
40240,정령의 수정 (트리플 애로우),300
40247,정령의 수정 (어스 스킨),300
40248,정령의 수정 (인탱글),300
40253,정령의 수정 (워터 라이프),300
40256,정령의 수정 (파이어 웨폰),300
40260,정령의 수정 (윈드 샷),300
40261,정령의 수정 (윈드 워크),300
40241,정령의 수정 (엘리멘탈 폴다운),400
40242,정령의 수정 (이레이즈 매직),400
40243,정령의 수정 (서먼 레서 엘리멘탈),400
40249,정령의 수정 (어스 바인드),400
40250,정령의 수정 (블레스 오브 어스),400
40254,정령의 수정 (네이쳐스 터치),400
41151,정령의 수정 (아쿠아 프로텍트),400
40257,정령의 수정 (블레스 오브 파이어),400
40262,정령의 수정 (아이 오브 스톰),400
40244,정령의 수정 (에어리어 오브 사일런스),500
40245,정령의 수정 (서먼 그레이터 엘리멘탈),500
40246,정령의 수정 (카운터 미러),500
40251,정령의 수정 (아이언 스킨),500
40252,정령의 수정 (엑조틱 바이탈라이즈),500
40258,정령의 수정 (버닝 웨폰),500
40259,정령의 수정 (엘리멘탈 파이어),500
41149,정령의 수정 (소울 오브 프레임),500
41150,정령의 수정 (어디셔널 파이어),500
40263,정령의 수정 (스톰 샷),500
40264,정령의 수정 (윈드 셰클),500
41153,정령의 수정 (스트라이커 게일),500
41152,정령의 수정 (폴루트 워터),500
40255,정령의 수정 (네이쳐스 블레싱),500
40007,흑단 막대,2
40006,소나무 막대,2
140006,소나무 막대,2
40008,단풍나무 막대,2
140008,단풍나무 막대,2
40041,인어의 비늘,20
40524,검은 혈흔,2
40515,정령의 돌,10
40040,위스키,20
40044,다이아몬드,100
40047,에메랄드,100
40045,루비,100
40046,사파이어,100
40048,고급 다이아몬드,200
40051,고급 에메랄드,200
40049,고급 루비,200
40050,고급 사파이어,200
40052,최고급 다이아몬드,1000
40055,최고급 에메랄드,1000
40053,최고급 루비,1000
40054,최고급 사파이어,1000
40163,금빛 열쇠,1
41435,봉인 된 오만의 탑 1층 이동 부적,20
40280,봉인된 오만의 탑 11층 이동 부적,20
40281,봉인된 오만의 탑 21층 이동 부적,20
40282,봉인된 오만의 탑 31층 이동 부적,20
40283,봉인된 오만의 탑 41층 이동 부적,20
40284,봉인된 오만의 탑 51층 이동 부적,20
40285,봉인된 오만의 탑 61층 이동 부적,20
40286,봉인된 오만의 탑 71층 이동 부적,20
40287,봉인된 오만의 탑 81층 이동 부적,20
40288,봉인된 오만의 탑 91층 이동 부적,20
40329,원주민 토템,10
140329,원주민의 토템,10
40397,키메라의 가죽 (용),2
40398,키메라의 가죽 (산양),2
40399,키메라의 가죽 (사자),2
40400,키메라의 가죽 (뱀),2
40407,뼈조각,2
40408,철괴,2
40419,거대무리안 거미줄,150
40424,늑대 가죽,5
40431,두더지의 가죽,3
40432,디아드 주문서 조각,5
40434,딜로의 꼬리,3
40437,딥플라워 줄기,2
40438,박쥐 송곳니,2
40443,블랙 미스릴,8
40444,블랙 미스릴 원석,100
40442,브롭의 위액,2
40452,비스트 서머너의 반지,3
40453,비스트 서머너의 채찍,3
40454,비스트테이머의 반지,3
40458,빛나는 비늘,2
40459,스콜피온 껍질,10
40460,아시타지오의 재,100
40461,악마의 검은색 족쇄,4
40462,악마의 붉은색 족쇄,4
40463,악마의 파란색 족쇄,4
40464,악마의 흰색 족쇄,4
40465,엘리멘탈리스트의 반지,3
40468,은원석조각,10
40470,정령 조각,500
40472,켈베로스 털,120
40477,타락의 악마서 1권,3
40478,타락의 악마서 2권,3
40479,타락의 악마서 3권,3
40480,타락의 악마서 4권,3
40483,플레이트웜의 껍질,2
40486,화산재,2
40490,흑정령석,8
40496,미스릴 원석,2
40499,버섯포자의 즙,2
40510,오염된 엔트의 껍질,3
40511,오염된 엔트의 열매,105
40512,오염된 엔트의 줄기,2
40514,정령의 눈물,10
40516,큰 녹색 수정,10
40517,큰 붉은 수정,10
40518,큰 푸른 수정,10
40540,낡은 거래 문서,2
40609,간디 오크 마법서,2
40610,네루가 오크 마법서,2
40611,두다 마라 오크 마법서,2
40612,아투바 오크 마법서,2
40646,바실리스크 뿔,18
40675,어둠의 광석,75
40678,영혼석 파편,1000
40696,원정대원의 유품,2
40703,정신지배의 돌,75
40714,푸른 도마뱀의 껍질,2
40718,혈석 파편,1000
40853,대공동 은둔자지역 이동 주문서,20
40899,강철 원석,2
40959,명법군왕의 인장,7
40960,마령군왕의 인장,7
40961,마수군왕의 인장,7
40962,암살군왕의 인장,7
40968,수행자의 경전,10
40969,다크엘프 영혼의 결정체,1000
40986,시버인의 앞니,50
40987,저주해진 블랙 귀 링,10
40988,저주받은 검은 귀걸이,10
40989,저주받은 검은 귀걸이,10
40978,시버인의 꼬리 : 흙,100
40979,시버인의 꼬리 : 물,100
40980,시버인의 꼬리 : 불,100
40981,시버인의 꼬리 : 공기,100
40982,시버인의 가죽 : 흙,200
40983,시버인의 가죽 : 물,200
40984,시버인의 가죽 : 불,200
40985,시버인의 가죽 : 공기,200
40999,다크엘프 병사의 배지,2
41000,다크엘프 장군의 배지,5
41038,항해 일지 1 페이지,10
41039,항해 일지 2 페이지,10
41040,항해 일지 3 페이지,10
41041,항해 일지 4 페이지,10
41042,항해 일지 5 페이지,10
41043,항해 일지 6 페이지,10
41044,항해 일지 7 페이지,10
41045,항해 일지 8 페이지,10
41046,항해 일지 9 페이지,10
41047,항해 일지 10 페이지,10
41154,어둠의 비늘,50
41155,열화의 비늘,50
41156,배덕의 비늘,50
41157,증오의 비늘,50
41206,날이 빠진 무기,600
41207,선원의 유해,2
41208,사그러지는 영혼,20
41217,군주의 봉투,100
41218,나이트의 봉투,100
41219,에르프의 봉투,100
41220,위저드의 봉투,100
41221,다크엘프 주머니,100
41342,메두사의 피,200
41343,파푸리온의 혈흔,2
41344,물의 정수,10
41352,신성한 유니콘의 뿔,100
41399,파티션,10
