id,note,remove_group_if_leader_die,leader_id,minion1_id,minion1_count,minion2_id,minion2_count,minion3_id,minion3_count,minion4_id,minion4_count,minion5_id,minion5_count,minion6_id,minion6_count,minion7_id,minion7_count
21,マンボラビット+マンボラビットの手下(3),1,45535,45366,3,0,0,0,0,0,0,0,0,0,0,0,0
22,深淵の主+大地の牙+氷河の牙+火炎の牙+風の牙,0,45646,45416,1,45419,1,45424,1,45418,1,0,0,0,0,0,0
23,ミュータントドレッドスパイダー(3),0,45348,45348,2,0,0,0,0,0,0,0,0,0,0,0,0
24,メデューサ(3),0,45380,45380,2,0,0,0,0,0,0,0,0,0,0,0,0
25,キメラ(3),0,45407,45407,2,0,0,0,0,0,0,0,0,0,0,0,0
26,コカトリス(3),0,81173,81173,2,0,0,0,0,0,0,0,0,0,0,0,0
27,サキュバス(3),0,45394,45394,2,0,0,0,0,0,0,0,0,0,0,0,0
28,ダイアーウルフ(3),0,45409,45409,2,0,0,0,0,0,0,0,0,0,0,0,0
29,イビルゲイザー(3),0,45406,45406,2,0,0,0,0,0,0,0,0,0,0,0,0
30,ダンシングソード(3),0,45386,45386,2,0,0,0,0,0,0,0,0,0,0,0,0
31,ナイトメア(3),0,45440,45440,2,0,0,0,0,0,0,0,0,0,0,0,0
32,ホラーファイアーエッグ(3),0,45384,45384,2,0,0,0,0,0,0,0,0,0,0,0,0
33,ホラーケルベロス(3),0,45471,45471,2,0,0,0,0,0,0,0,0,0,0,0,0
34,レッサーデーモン(3),0,45481,45481,2,0,0,0,0,0,0,0,0,0,0,0,0
35,イフリート(3),0,45515,45515,2,0,0,0,0,0,0,0,0,0,0,0,0
36,デッドリースケルトンパイク(3),0,45403,45403,2,0,0,0,0,0,0,0,0,0,0,0,0
37,デッドリーグール(3),0,45454,45454,2,0,0,0,0,0,0,0,0,0,0,0,0
38,デッドリースパルトイ(3),0,45455,45455,2,0,0,0,0,0,0,0,0,0,0,0,0
39,デッドリースケルトンマークスマン(3),0,45494,45494,2,0,0,0,0,0,0,0,0,0,0,0,0
40,カオスエルモアジェネラル(3),0,45541,45541,2,0,0,0,0,0,0,0,0,0,0,0,0
41,炎の精霊ケルベロス(3),0,45520,45520,2,0,0,0,0,0,0,0,0,0,0,0,0
42,炎のアシタジオ(3),0,45572,45572,2,0,0,0,0,0,0,0,0,0,0,0,0
43,ダークバーニングアーチャー(3),0,45532,45532,2,0,0,0,0,0,0,0,0,0,0,0,0
44,パートゼニスクイーン(3),0,45581,45581,2,0,0,0,0,0,0,0,0,0,0,0,0
45,マーキスバンパイア(3),0,45604,45604,2,0,0,0,0,0,0,0,0,0,0,0,0
46,フィアゾンビロード(3),0,45589,45589,2,0,0,0,0,0,0,0,0,0,0,0,0
47,火の大精霊(2),0,45622,45622,1,0,0,0,0,0,0,0,0,0,0,0,0
48,水の大精霊(2),0,45620,45620,1,0,0,0,0,0,0,0,0,0,0,0,0
49,シュノーヴァ+ヘビーリザードマン(2),1,45492,81174,2,0,0,0,0,0,0,0,0,0,0,0,0
50,ブラック ナイト(2),0,45165,45165,1,0,0,0,0,0,0,0,0,0,0,0,0
51,伯爵親衛隊長+ガードドッグ(2),1,46024,46019,2,0,0,0,0,0,0,0,0,0,0,0,0
52,巡察兵(欲望)1-3,0,46082,46083,1,46084,1,0,0,0,0,0,0,0,0,0,0
53,巡察兵(欲望)4-6,0,46085,46086,1,46087,1,0,0,0,0,0,0,0,0,0,0
54,巡察兵(欲望)7-9,0,46088,46089,1,46090,1,0,0,0,0,0,0,0,0,0,0
55,巡察兵(影の神殿)1-3,0,46097,46098,1,46099,1,0,0,0,0,0,0,0,0,0,0
56,巡察兵(影の神殿)4-6,0,46100,46101,1,46102,1,0,0,0,0,0,0,0,0,0,0
57,巡察兵(影の神殿)6-7,0,46103,46104,1,46105,1,0,0,0,0,0,0,0,0,0,0
58,アビスシング+アビスグール(2),0,45539,45501,2,0,0,0,0,0,0,0,0,0,0,0,0
59,アビスシング+アビスアーチャー(2),0,45539,45502,2,0,0,0,0,0,0,0,0,0,0,0,0
60,アビスタートルドラゴン+アビスクラブマン(2),0,45422,45297,2,0,0,0,0,0,0,0,0,0,0,0,0
61,アビスゲイザー+アビスリザードマン(3),0,45423,45374,3,0,0,0,0,0,0,0,0,0,0,0,0
62,ジャイアントグレイヴガーディアン+グレイヴガーディアンナイト+グレイヴガーディアンメイジ+グレイヴガーディアン,0,45603,45537,1,45530,1,45498,1,0,0,0,0,0,0,0,0
63,テーベ マンドラゴラ(2),0,46107,46107,1,0,0,0,0,0,0,0,0,0,0,0,0
64,アイスクイーンの近衛兵(矛)(3),0,46135,46135,2,0,0,0,0,0,0,0,0,0,0,0,0
65,アイスクイーンの近衛兵(弓)(3),0,46138,46138,2,0,0,0,0,0,0,0,0,0,0,0,0
66,アイスクイーンの近衛兵(矛)(3),0,46139,46139,2,0,0,0,0,0,0,0,0,0,0,0,0
67,アイスクイーンの近衛兵(弓)(3),0,46137,46137,2,0,0,0,0,0,0,0,0,0,0,0,0
68,アイスクイーン+アイスクイーンメイド(3),0,46141,46140,3,0,0,0,0,0,0,0,0,0,0,0,0
69,ラスタバド調教師+ブラックタイガー(2),0,45448,45836,2,0,0,0,0,0,0,0,0,0,0,0,0
70,バルログの分身+デーモン+ベレス+バフォメット+レッサーデーモン+サキュバスクイーン+サキュバス,0,45315,45647,1,45579,1,45569,1,45482,1,45450,1,45391,1,0,0
71,コラプトプリースト(5),0,45570,45571,1,45582,1,45587,1,45605,1,0,0,0,0,0,0
72,オーク密使+オーク密使 護衛兵(2),1,46157,46160,2,0,0,0,0,0,0,0,0,0,0,0,0
73,オーク密使+オーク密使 護衛兵(2),1,46158,46160,2,0,0,0,0,0,0,0,0,0,0,0,0
74,オーク密使+オーク密使 護衛兵(2),1,46159,46160,2,0,0,0,0,0,0,0,0,0,0,0,0
75,ヤヒの近衛兵,0,45624,45628,2,45629,1,45630,1,45596,2,0,0,0,0,0,0
76,ヤヒの近衛兵,0,45623,45631,2,45632,4,0,0,0,0,0,0,0,0,0,0
77,ノーマルスケルトン一家(秘譚),0,91266,91265,2,91266,2,91267,2,91268,2,0,0,0,0,0,0
78,デス1 ケル2 ゴースト3 スパ1 弓1 槍1 斧1(秘譚),0,91272,91273,2,91270,1,91271,3,91276,1,91274,1,91275,1,0,0
79,ケル4 スパ3 槍1 ゴースト3 デス1(秘譚),0,91272,91273,4,91270,3,91271,3,91274,1,0,0,0,0,0,0
80,槍4 ケル2 スパ2 ゴースト1(秘譚),0,91271,91273,2,91270,2,91271,1,91274,4,0,0,0,0,0,0
81,デス1 斧3 弓2 ゴースト2 ケル1(秘譚),0,91272,91273,1,91271,2,91276,3,91275,2,0,0,0,0,0,0
82,スパ3 ゴースト2 ケル2 斧1 槍1(秘譚),0,91274,91273,2,91270,3,91271,2,91276,1,91274,1,0,0,0,0
83,デス2 ゴースト2 スパ1 ケル1(秘譚),0,91270,91273,1,91270,1,91271,2,91272,1,0,0,0,0,0,0
84,弓3 槍２ ゴースト3 斧２ ケル1(秘譚),0,91273,91273,1,91271,3,91276,2,91274,2,91275,3,0,0,0,0
86,オーガ2 ロバ1(秘譚),0,91340,91340,1,45278,2,0,0,0,0,0,0,0,0,0,0
85,ロバ2 ネルガ2 アトゥバ2(秘譚),0,91341,91340,2,91341,2,91342,2,0,0,0,0,0,0,0,0
87,KBB2 アトゥバ1(秘譚),0,91341,91341,1,45298,2,0,0,0,0,0,0,0,0,0,0
88,鎌鼬長兄+鎌鼬(2),0,99004,99003,2,0,0,0,0,0,0,0,0,0,0,0,0
89,ジャカール+ドゥラカ,0,99038,99040,1,0,0,0,0,0,0,0,0,0,0,0,0
90,BKチーフ+BK8人,0,99071,99070,8,0,0,0,0,0,0,0,0,0,0,0,0
91,カザル+ドゥラカ,0,99039,99040,1,0,0,0,0,0,0,0,0,0,0,0,0
92,ドゥエルグ アックス+ドゥエルグ シャーマン,0,99041,99046,1,0,0,0,0,0,0,0,0,0,0,0,0
93,ドゥエルグ アーチャー+ドゥエルグ シャーマン,0,99042,99046,1,0,0,0,0,0,0,0,0,0,0,0,0
94,ドゥエルグ ジェネラル+ドゥエルグ シャーマン,0,99043,99046,1,0,0,0,0,0,0,0,0,0,0,0,0
95,ドゥエルグ パイク+ドゥエルグ シャーマン,0,99044,99046,1,0,0,0,0,0,0,0,0,0,0,0,0
96,ドゥエルグ ファイター+ドゥエルグ シャーマン,0,99045,99046,1,0,0,0,0,0,0,0,0,0,0,0,0
97,アルフィア+巣,4,99065,99083,1,0,0,0,0,0,0,0,0,0,0,0,0
98,テーベ スカラブ ストーン,0,46109,46109,1,46109,1,0,0,0,0,0,0,0,0,0,0
99,テーベ スカラブ ストーン,0,46110,46110,1,46110,1,0,0,0,0,0,0,0,0,0,0
100,エルモア ジェネラル+エルモア ゾンビ ソルジャー+エルモア ゾンビ ウィザード,0,99189,99187,1,99186,1,0,0,0,0,0,0,0,0,0,0
101,エルモア ジェネラル+エルモア ゾンビ ソルジャー(2)+エルモア ゾンビ ウィザード(2),0,99189,99187,2,99186,2,0,0,0,0,0,0,0,0,0,0
102,ドワーフ ジェネラル+ドワーフ アックス+ドワーフ アーチャー+ドワーフ ファイター+ドワーフ シャーマン,0,99043,99041,1,99042,1,99045,1,99046,1,0,0,0,0,0,0
103,ドワーフ ジェネラル+ドワーフ アックス+ドワーフ パイク+ドワーフ ファイター+ドワーフ シャーマン,0,99043,99041,1,99044,1,99045,1,99046,1,0,0,0,0,0,0
104,シャスキ(疾風+狂風),0,99085,99086,1,0,0,0,0,0,0,0,0,0,0,0,0
