id,npc_id,note,group_id,cycle_type,count,loc_x,loc_y,random_x,random_y,loc_x1,loc_y1,loc_x2,loc_y2,heading,map_id,respawn_screen,movement_distance,rest,spawn_type,percentage
49,45640,ユニコーン,0,Caspa,3,32740,32735,0,0,32728,32717,32752,32753,4,303,1,0,0,0,100
50,45642,地の大精霊,0,Caspa,3,32727,32749,0,0,32685,32701,32770,32798,4,303,1,0,0,0,100
51,45643,水の大精霊,0,Caspa,3,32762,32616,0,0,32717,32593,32808,32640,4,303,1,0,0,0,100
52,45644,風の大精霊,0,Caspa,3,32624,32807,0,0,32588,32739,32660,32876,4,303,1,0,0,0,100
53,45645,火の大精霊,0,Caspa,3,32833,32778,0,0,32798,32738,32869,32818,4,303,1,0,0,0,100
54,45646,深淵の主,22,Oren,1,32824,32815,0,0,32704,32768,32959,33023,0,430,1,0,0,0,100
55,45649,デーモン,0,Oren,1,32698,32823,0,0,32640,32768,32767,32895,0,80,1,0,0,0,100
56,45650,デス ゾンビ ロード,0,Oren,1,32800,32797,0,0,32722,32722,32877,32877,0,140,1,0,0,0,100
57,45651,魔獣軍王 バランカ,19,Aden,0,32915,32896,0,0,32964,32881,32998,32915,0,320,0,0,0,0,100
58,45652,ヘル クーガー,0,Oren,1,32794,32800,0,0,32722,32722,32877,32877,5,150,1,0,0,0,100
59,45653,イモータル マミーロード,0,Oren,1,32721,32822,0,0,32576,32768,32767,32959,3,160,1,0,0,0,100
60,45654,マーシレス アイリス,0,Oren,1,32721,32822,0,0,32576,32768,32767,32959,0,170,1,0,0,0,100
61,45671,アリオク,0,Aden,1,32681,32947,0,0,32678,32937,32692,32948,5,243,1,0,0,0,100
62,45672,フォーエバー リッチ,0,Oren,1,32716,32817,0,0,32576,32768,32767,32959,0,190,1,0,0,0,100
63,45673,デス グリムリーパー,0,Oren,1,32784,32806,0,0,32576,32768,32831,33023,6,200,1,0,0,0,100
64,45674,死,0,DK,1,32746,32897,0,0,0,0,0,0,0,523,1,0,0,0,100
65,45675,ヤヒ,0,DK,1,32733,32894,0,0,0,0,0,0,0,524,1,0,0,0,100
68,45680,ケンラウヘル,18,Aden,1,34092,33262,0,0,34079,33250,34100,33271,0,4,0,100,0,0,100
69,45681,リンドビオル,0,Dragon,1,34041,33007,3,3,0,0,0,0,0,4,0,100,0,0,0
70,45682,アンタラス,0,Dragon,1,32697,32823,3,3,0,0,0,0,0,37,0,0,0,0,0
71,45683,パプリオン,0,Dragon,1,32771,32831,3,3,0,0,0,0,0,65,0,0,0,0,0
72,45684,ヴァラカス,0,Dragon,1,32725,32800,3,3,0,0,0,0,0,67,0,0,0,0,0
73,45685,堕落,0,DK,1,32904,32801,0,0,32889,32788,32916,32810,0,410,1,0,0,0,100
74,45711,紀州犬の子犬,0,Unknown,1,32511,33024,0,0,32276,32785,32746,33263,0,440,0,0,0,0,100
75,45711,紀州犬の子犬,0,Unknown,1,32767,32899,0,0,32660,32791,32875,33007,0,480,0,0,0,0,100
76,45711,紀州犬の子犬,0,Unknown,1,32796,32863,0,0,32629,32692,32964,32978,0,70,0,0,0,0,100
77,45711,紀州犬の子犬,0,Unknown,1,32671,32862,0,0,32527,32718,32815,33007,0,69,0,0,0,0,100
78,45711,紀州犬の子犬,0,Unknown,1,32522,33013,0,0,32299,32787,32745,33240,0,0,0,0,0,0,100
79,45711,紀州犬の子犬,0,Unknown,1,32804,32734,0,0,32654,32591,32955,32878,0,68,0,0,0,0,100
80,45711,紀州犬の子犬,0,Unknown,5,33408,32834,0,0,32528,32200,34288,33519,0,4,0,0,0,0,100
81,45734,大王イカ,0,Unknown,1,32781,32799,0,0,32704,32768,33215,33279,0,558,1,0,0,0,100
82,45735,半魚人の長,0,Unknown,1,32781,32799,0,0,32704,32768,33215,33279,0,558,1,0,0,0,100
83,45752,バルログ,0,DK,1,32726,32832,0,0,0,0,0,0,0,603,1,0,0,0,100
84,45772,汚れた オーク ウォリアー,0,Unknown,1,32729,32792,0,0,32729,32792,32809,32930,5,244,1,100,0,0,100
85,45795,スピリッド,0,Unknown,1,32841,32913,0,0,32841,32913,32880,32947,5,244,1,0,0,0,100
86,45801,マイノ シャーマンのダイア ゴーレム,0,Unknown,1,32778,32797,0,0,0,0,0,0,5,255,1,0,0,0,100
87,45802,マイノ シャーマン,0,Unknown,1,32696,32793,0,0,32640,32768,32895,33023,5,256,1,0,0,0,100
88,45829,バルバドス,0,Unknown,1,32675,32860,0,0,0,0,0,0,0,254,1,0,0,0,100
89,81081,パプリオンの信奉者,0,Caspa,1,32727,32808,0,0,32640,32768,32767,32895,5,60,1,0,0,0,100
90,81081,パプリオンの信奉者,0,Caspa,1,32727,32808,0,0,32640,32768,32767,32895,5,61,1,0,0,0,100
91,45548,ホセ,0,Oren,1,32775,32849,0,0,32710,32770,32830,32895,5,484,0,0,0,0,100
92,45585,暗殺団長 ブレイズ,0,Unknown,1,32785,32837,0,0,0,0,0,0,5,495,1,0,0,0,100
93,45574,親衛隊長 カイト,0,Unknown,1,32831,32762,0,0,0,0,0,0,5,494,1,0,0,0,100
94,45648,暗殺軍王 スレイヴ,0,Unknown,1,32853,32863,0,0,0,0,0,0,5,492,1,0,0,0,100
95,45577,旅団長 ダークパンサー,0,Unknown,1,32783,32837,0,0,0,0,0,0,5,452,1,0,0,0,100
96,45844,魔獣軍王 バランカ,0,Unknown,1,32838,32758,0,0,0,0,0,0,5,453,1,0,0,0,100
97,45588,師団長 シンクレア,0,Unknown,1,32745,32823,0,0,0,0,0,0,5,456,1,0,0,0,100
98,45607,魔獣団長 カイバール,0,Unknown,1,32758,32823,0,0,0,0,0,0,5,455,1,0,0,0,100
99,45612,神官長 バウンティ,0,Unknown,1,32770,32829,0,0,0,0,0,0,5,466,1,0,0,0,100
100,45602,魔法団長 カルミエル,0,Unknown,1,32842,32821,0,0,0,0,0,0,5,461,1,0,0,0,100
101,45863,魔霊軍王 ライア,0,Unknown,1,32805,32839,0,0,0,0,0,0,5,462,1,0,0,0,100
102,45608,傭兵隊長 メファイスト,0,Unknown,1,32791,32815,0,0,0,0,0,0,5,471,1,0,0,0,100
103,45615,冥法団長 クリファス,0,Unknown,1,32922,32846,0,0,0,0,0,0,5,473,1,0,0,0,100
104,45676,冥法軍王 ヘルバイン,0,Unknown,1,32785,32844,0,0,0,0,0,0,5,475,1,0,0,0,100
105,46024,伯爵親衛隊長,51,Unknown,1,32737,32827,0,0,0,0,0,0,5,250,1,0,0,0,100
106,46025,タロス伯爵,0,Unknown,1,32809,32796,0,0,0,0,0,0,5,251,1,0,0,0,100
107,46026,マモン,0,Unknown,1,32797,32790,0,0,0,0,0,0,5,251,1,0,0,0,100
108,46037,黒魔術師 マヤ,0,Unknown,1,32796,33072,0,0,0,0,0,0,6,258,1,0,0,0,100
109,45935,呪われた メデューサ,0,1Drake,1,32700,32830,0,0,32640,32768,32767,32895,0,60,1,0,0,0,100
110,45942,呪われた 水の大精霊,0,1Drake,1,32700,32830,0,0,32640,32768,32767,32895,0,61,1,0,0,0,100
111,45941,呪われた巫女 サエル,0,1Drake,1,32735,32799,0,0,32576,32640,32895,32959,0,63,1,0,0,0,100
112,45931,水の精霊,0,1Drake,1,32735,32799,0,0,32576,32640,32895,32959,0,63,1,0,1,0,100
113,45943,カープ,0,1Drake,2,32735,32799,0,0,32576,32640,32895,32959,0,63,1,0,0,0,100
114,45944,ジャイアント ワーム,0,1Drake,1,32735,32799,0,0,32735,32640,32895,32799,0,63,1,0,0,0,100
115,45955,大法官 ケイナ,0,Unknown,1,32862,32840,0,0,0,0,0,0,5,530,1,0,0,0,100
116,45956,大法官 ビアタス,0,Unknown,1,32757,32744,0,0,0,0,0,0,5,531,1,0,0,0,100
117,45957,大法官 バロメス,0,Unknown,1,32791,32786,0,0,0,0,0,0,5,531,1,0,0,0,100
118,45958,大法官 エンディアス,0,Unknown,1,32845,32857,0,0,0,0,0,0,5,531,1,0,0,0,100
119,45959,大法官 イデア,0,Unknown,1,32789,32812,0,0,0,0,0,0,5,532,1,0,0,0,100
120,45960,大法官 ティアメス,0,Unknown,1,32859,32897,0,0,0,0,0,0,5,533,1,0,0,0,100
121,45961,大法官 ラミアス,0,Unknown,1,32789,32891,0,0,0,0,0,0,5,533,1,0,0,0,100
122,45962,大法官 バロード,0,Unknown,1,32753,32811,0,0,0,0,0,0,5,533,1,0,0,0,100
123,45963,副祭祀長 カサンドラ,0,Unknown,1,32858,32821,0,0,0,0,0,0,5,534,1,0,0,0,100
124,46124,テーベ アヌビス,0,etc1,1,32782,32827,0,0,0,0,0,0,6,782,1,0,0,0,100
125,46123,テーベ ホルス,0,etc1,1,32782,32836,0,0,0,0,0,0,6,782,1,0,0,0,100
126,46141,アイスクイーン,0,Oren,1,32842,32921,0,0,0,0,0,0,5,74,1,0,0,0,100
127,46142,アイス デーモン,0,Oren,1,32753,32776,10,10,0,0,0,0,5,73,1,0,0,0,100
128,46221,ミュータント ラミア,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,101,1,0,0,0,33
129,46222,ミュータント ドレッドスパイダー,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,101,1,0,0,0,33
130,46223,メデューサ,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,101,1,0,0,0,33
131,46221,ミュータント ラミア,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,102,1,0,0,0,33
132,46222,ミュータント ドレッドスパイダー,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,102,1,0,0,0,33
133,46223,メデューサ,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,102,1,0,0,0,33
134,46221,ミュータント ラミア,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,103,1,0,0,0,25
135,46222,ミュータント ドレッドスパイダー,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,103,1,0,0,0,25
136,46223,メデューサ,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,103,1,0,0,0,25
137,46224,キメラ,0,Oren,1,32798,32798,0,0,32704,32704,32895,32895,0,103,1,0,0,0,25
138,46221,ミュータント ラミア,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,104,1,0,0,0,25
139,46222,ミュータント ドレッドスパイダー,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,104,1,0,0,0,25
140,46223,メデューサ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,104,1,0,0,0,25
141,46224,キメラ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,104,1,0,0,0,25
142,46225,コカトリス,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,105,1,0,0,0,33
143,46223,メデューサ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,105,1,0,0,0,33
144,46224,キメラ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,105,1,0,0,0,33
145,46225,コカトリス,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,107,1,0,0,0,33
146,46223,メデューサ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,107,1,0,0,0,33
147,46224,キメラ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,107,1,0,0,0,33
148,46225,コカトリス,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,108,1,0,0,0,33
149,46223,メデューサ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,108,1,0,0,0,33
150,46224,キメラ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,108,1,0,0,0,33
151,46225,コカトリス,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,109,1,0,0,0,33
152,46223,メデューサ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,109,1,0,0,0,33
153,46224,キメラ,0,Oren,1,32670,32861,0,0,32576,32768,32767,32959,0,109,1,0,0,0,33
154,46226,サキュバス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,111,1,0,0,0,50
155,46227,ダイアーウルフ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,111,1,0,0,0,50
156,46226,サキュバス,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,112,1,0,0,0,33
157,46228,イビル ミミック,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,112,1,0,0,0,33
158,46227,ダイアーウルフ,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,112,1,0,0,0,33
159,46226,サキュバス,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,113,1,0,0,0,33
160,46228,イビル ミミック,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,113,1,0,0,0,33
161,46227,ダイアーウルフ,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,113,1,0,0,0,33
162,46226,サキュバス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,114,1,0,0,0,33
163,46228,イビル ミミック,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,114,1,0,0,0,33
164,46227,ダイアーウルフ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,114,1,0,0,0,33
165,46228,イビル ミミック,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,115,1,0,0,0,33
166,46229,イビル ゲイザー,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,115,1,0,0,0,33
167,46227,ダイアーウルフ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,115,1,0,0,0,33
168,46239,ダンシング ソード,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,117,1,0,0,0,33
169,46229,イビル ゲイザー,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,117,1,0,0,0,33
170,46227,ダイアーウルフ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,117,1,0,0,0,33
171,46239,ダンシング ソード,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,118,1,0,0,0,33
172,46229,イビル ゲイザー,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,118,1,0,0,0,33
173,46227,ダイアーウルフ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,118,1,0,0,0,33
174,46239,ダンシング ソード,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,119,1,0,0,0,33
175,46229,イビル ゲイザー,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,119,1,0,0,0,33
176,46227,ダイアーウルフ,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,119,1,0,0,0,33
177,46240,ホラー ファイアー エッグ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,121,1,0,0,0,50
178,46241,ナイトメア,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,121,1,0,0,0,50
179,46240,ホラー ファイアー エッグ,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,122,1,0,0,0,33
180,46241,ナイトメア,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,122,1,0,0,0,33
181,46242,ホラー ケルベロス,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,122,1,0,0,0,33
182,46240,ホラー ファイアー エッグ,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,123,1,0,0,0,33
183,46241,ナイトメア,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,123,1,0,0,0,33
184,46242,ホラー ケルベロス,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,123,1,0,0,0,33
185,46240,ホラー ファイアー エッグ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,124,1,0,0,0,33
186,46241,ナイトメア,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,124,1,0,0,0,33
187,46242,ホラー ケルベロス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,124,1,0,0,0,33
188,46241,ナイトメア,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,125,1,0,0,0,33
189,46242,ホラー ケルベロス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,125,1,0,0,0,33
190,46243,レッサー デーモン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,125,1,0,0,0,33
191,46242,ホラー ケルベロス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,127,1,0,0,0,33
192,46243,レッサー デーモン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,127,1,0,0,0,33
193,46244,イフリート,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,127,1,0,0,0,33
194,46242,ホラー ケルベロス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,128,1,0,0,0,33
195,46243,レッサー デーモン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,128,1,0,0,0,33
196,46244,イフリート,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,128,1,0,0,0,33
197,46242,ホラー ケルベロス,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,129,1,0,0,0,33
198,46243,レッサー デーモン,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,129,1,0,0,0,33
199,46244,イフリート,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,129,1,0,0,0,33
200,46245,デッドリー スケルトン アックス,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,131,1,0,0,0,50
201,46246,デッドリー グール,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,131,1,0,0,0,50
202,46245,デッドリー スケルトン アックス,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,132,1,0,0,0,33
203,46247,デッドリー スケルトン パイク,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,132,1,0,0,0,33
204,46246,デッドリー グール,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,132,1,0,0,0,33
205,46247,デッドリー スケルトン パイク,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,133,1,0,0,0,33
206,46246,デッドリー グール,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,133,1,0,0,0,33
207,46245,デッドリー スケルトン アックス,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,133,1,0,0,0,33
208,46247,デッドリー スケルトン パイク,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,134,1,0,0,0,33
209,46246,デッドリー グール,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,134,1,0,0,0,33
210,46248,デッドリー スパルトイ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,134,1,0,0,0,33
211,46246,デッドリー グール,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,135,1,0,0,0,33
212,46248,デッドリー スパルトイ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,135,1,0,0,0,33
213,46249,デッドリー スケルトン マークスマン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,135,1,0,0,0,33
214,46248,デッドリー スパルトイ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,137,1,0,0,0,33
215,46250,デッドリー スケルトン ファイター,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,137,1,0,0,0,33
216,46249,デッドリー スケルトン マークスマン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,137,1,0,0,0,33
217,46248,デッドリー スパルトイ,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,138,1,0,0,0,33
218,46250,デッドリー スケルトン ファイター,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,138,1,0,0,0,33
219,46249,デッドリー スケルトン マークスマン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,138,1,0,0,0,33
220,46248,デッドリー スパルトイ,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,139,1,0,0,0,33
221,46250,デッドリー スケルトン ファイター,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,139,1,0,0,0,33
222,46249,デッドリー スケルトン マークスマン,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,139,1,0,0,0,33
223,46251,レッサードラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,141,1,0,0,0,33
224,46252,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,141,1,0,0,0,33
225,46253,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,141,1,0,0,0,33
226,46254,ホラー アイアン ゴーレム,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,142,1,0,0,0,33
227,46252,インファーナル ゴースト,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,142,1,0,0,0,33
228,46253,インファーナル ゴースト,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,142,1,0,0,0,33
229,46251,レッサードラゴン,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,143,1,0,0,0,33
230,46252,インファーナル ゴースト,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,143,1,0,0,0,33
231,46253,インファーナル ゴースト,0,Oren,1,32798,32798,0,0,32722,32722,32877,32877,0,143,1,0,0,0,33
232,46251,レッサードラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,144,1,0,0,0,33
233,46252,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,144,1,0,0,0,33
234,46253,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,144,1,0,0,0,33
235,46251,レッサードラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,145,1,0,0,0,33
236,46252,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,145,1,0,0,0,33
237,46253,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,145,1,0,0,0,33
238,46255,インファーナル ネクロマンサー,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,147,1,0,0,0,33
239,46252,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,147,1,0,0,0,33
240,46253,インファーナル ゴースト,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,147,1,0,0,0,33
241,46255,インファーナル ネクロマンサー,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,147,1,0,0,0,33
242,46251,レッサードラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,147,1,0,0,0,33
243,46256,ボーンドラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,147,1,0,0,0,33
244,46255,インファーナル ネクロマンサー,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,148,1,0,0,0,33
245,46251,レッサードラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,148,1,0,0,0,33
246,46256,ボーンドラゴン,0,Oren,1,32670,32861,0,0,32593,32785,32750,32942,0,148,1,0,0,0,33
247,46255,インファーナル ネクロマンサー,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,149,1,0,0,0,33
248,46251,レッサードラゴン,0,Oren,1,32670,32861,0,0,32602,32794,32741,32933,0,149,1,0,0,0,33
