npc_id,note,chat_timing,start_delay_time,chat_id1,chat_id2,chat_id3,chat_id4,chat_id5,chat_interval,is_shout,is_world_chat,is_repeat,repeat_interval,game_time
46213,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46214,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46214,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46215,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46215,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46216,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46216,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46217,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46217,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46218,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46218,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46219,監視者リーパー,0,0,$12380,$12381,$12382,,,0,0,0,1,10000,0
46219,監視者リーパー,1,0,$12412,,,,,0,0,0,0,0,0
46220,ウグヌス,0,0,$12448,$12449,$12450,,,0,0,0,1,10000,0
46220,ウグヌス,1,0,$12424,,,,,0,0,0,0,0,0
80195,お知らせ少年,0,0,$8917,$8918,,,,0,0,0,1,60000,0
80241,特別販売員,0,0,$11620,$11621,,,,0,0,0,1,60000,0
91471,オールディン,0,5000,$9575,,,,,0,0,0,1,15000,0
91472,セマ,0,5000,$9574,,,,,0,0,0,1,15000,0
91473,バルタザール,0,5000,$9571,,,,,0,0,0,1,15000,0
91474,カスパー,0,5000,$9572,,,,,0,0,0,1,15000,0
91475,メルキオール,0,5000,$9573,,,,,0,0,0,1,15000,0
91479,バフォメット,0,3000,$9576,,,,,0,0,0,0,0,0
91493,セマ,0,5000,$9574,$9568,$9569,$9570,,5000,0,0,1,15000,0
99071,カーツ,0,0,$275,$279,$281,$285,$287,5000,0,0,0,0,0
99071,カーツ,1,0,$302,,,,,0,0,0,0,0,0
